# Version: v1.0.16-src
example_run_id
Level,Yield,Projected Yield,Aligned,Error Rate,Intensity C1,%>=Q30
Read 1,149.14,149.14,0.94,0.12,407,97.18
Read 2 (I),20.87,20.87,0.00,nan,662,95.07
Non-indexed,149.14,149.14,0.94,0.12,407,97.18
Total,170.01,170.01,0.94,0.12,534,96.92


Read 1
Lane,Surface,Tiles,Density,Cluster PF,Phas/Prephas,Phasing Equation,Prephas Equation,Reads,Reads PF,%>=Q30,Yield,Cycles Error,Aligned,Error,Error (35),Error (75),Error (100),Intensity C1
2,1,56,2355 +/- 0,71.96 +/- 6.67,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,241.49,173.78,94.09,1.22,-,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,535 +/- 32
2,2,56,2355 +/- 0,80.85 +/- 2.32,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,241.49,195.24,95.89,1.37,-,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,765 +/- 84
3,-,112,2355 +/- 0,77.20 +/- 3.02,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,482.99,372.85,95.25,2.61,0,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,700 +/- 97
3,1,56,2355 +/- 0,74.83 +/- 1.87,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,241.49,180.72,94.64,1.27,-,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,616 +/- 51
3,2,56,2355 +/- 0,79.56 +/- 1.89,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,241.49,192.13,95.82,1.35,-,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,784 +/- 45
4,-,112,2355 +/- 0,75.39 +/- 3.06,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,482.99,364.14,94.88,2.55,0,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,673 +/- 89
4,1,56,2355 +/- 0,73.14 +/- 2.59,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,241.49,176.63,94.27,1.24,-,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,615 +/- 68
4,2,56,2355 +/- 0,77.65 +/- 1.37,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,241.49,187.51,95.45,1.31,-,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,731 +/- 67
5,-,112,2355 +/- 0,77.37 +/- 2.08,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,482.99,373.68,95.22,2.62,0,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,672 +/- 61
5,1,56,2355 +/- 0,75.99 +/- 1.77,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,241.49,183.50,94.76,1.29,-,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,632 +/- 57
