[f1.sorted.bam, f2.sorted.bam]
2 BAMs
ReadGroup	Library	Sample	Total	Mapped	Duplicates	LENGTH_ESTIMATE	TEL0	TEL1	TEL2	TEL3	TEL4	TEL5	TEL6	TEL7	TEL8	TEL9	TEL10	TEL11	TEL12	TEL13	TEL14	TEL15	TEL16	GC0	GC1	GC2	GC3	GC4	GC5	GC6	GC7	GC8	GC9	
SAMPLE1	SAMPLE1	SAMPLE1	11658310	11658310	0	0.0182633	11464434	192580	1248	24	15	5	1	2	1	0	0	0	0	0	0	0	0	661178	664193	648996	627435	603831	584302	564385	538213	497641	441152	
SAMPLE2	SAMPLE2	SAMPLE2	12292241	12292241	0	0.048798	12088091	202798	1287	39	11	3	4	6	2	0	0	0	0	0	0	0	0	697038	687679	664909	633620	605132	580664	557628	529137	490983	436216	
