#SentieonCommandLine: /mnt/ix1/Resources/tools/sentieon-genomics/v201808.08/libexec/driver -t 8 -i Pinsky_150_repl1_PE.st.mdup.bam -r /mnt/ix1/Projects_lite/20200402_BL_COVID_primer_selection/00_seq/reference_genome/merged.fasta --algo InsertSizeMetricAlgo Pinsky_150_repl1_PE.st.mdup.metrics.InsertSize
MEDIAN_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_99_PERCENT
278.000000	101.000000	10	2510	312.487645	163.309342	13156	FR	41	79	119	157	203	247	303	375	525	1059

insert_size	All_Reads.fr_count
1040	1
1043	1
1045	1
1055	1
1059	1
1060	1
1063	1
1064	1
1067	1
1070	1
1081	1
1101	1
1112	1

