File	#Seq	Total bp	Avg	N50	N75	N90	auN	Min	Max
data/Rsphaeroides-ATCC17023-rep5-sWGS-MiSeqi100-241111_S21_L001_R1_001.fastq.gz	16385	2474135	151.00	151	151	151	0.01	151	151
data/Rsphaeroides-ATCC17023-rep5-sWGS-MiSeqi100-241111_S21_L001_R2_001.fastq.gz	16385	2474135	151.00	151	151	151	0.01	151	151
data/Rsphaeroides-ATCC17023-rep6-sWGS-MiSeqi100-241111_S22_L001_R1_001.fastq.gz	17353	2620303	151.00	151	151	151	0.01	151	151
data/Rsphaeroides-ATCC17023-rep6-sWGS-MiSeqi100-241111_S22_L001_R2_001.fastq.gz	17353	2620303	151.00	151	151	151	0.01	151	151
data/Rsphaeroides-ATCC17023-rep7-sWGS-MiSeqi100-241111_S23_L001_R1_001.fastq.gz	17770	2683270	151.00	151	151	151	0.01	151	151
data/Rsphaeroides-ATCC17023-rep7-sWGS-MiSeqi100-241111_S23_L001_R2_001.fastq.gz	17770	2683270	151.00	151	151	151	0.01	151	151
data/Rsphaeroides-ATCC17023-rep8-sWGS-MiSeqi100-241111_S24_L001_R1_001.fastq.gz	17963	2712413	151.00	151	151	151	0.01	151	151
data/Rsphaeroides-ATCC17023-rep8-sWGS-MiSeqi100-241111_S24_L001_R2_001.fastq.gz	17963	2712413	151.00	151	151	151	0.01	151	151
data/Undetermined_S0_L001_R1_001.fastq.gz	12528	1891728	151.00	151	151	151	0.01	151	151
data/Undetermined_S0_L001_R2_001.fastq.gz	12528	1891728	151.00	151	151	151	0.01	151	151
