TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
2300000.0	113295.3	80800.5	158858.2
2310000.0	113344.7	80753.0	159090.3
2320000.0	113393.7	80705.5	159321.7
2330000.0	113442.4	80657.9	159552.6
2340000.0	113490.7	80610.3	159783.0
2350000.0	113538.7	80562.5	160012.8
2360000.0	113586.3	80514.7	160242.0
2370000.0	113633.5	80466.8	160470.8
2380000.0	113680.4	80418.9	160699.0
2390000.0	113726.9	80370.8	160926.6
2400000.0	113773.1	80322.8	161153.8
2410000.0	113818.9	80274.6	161380.4
2420000.0	113864.4	80226.4	161606.6
2430000.0	113909.6	80178.1	161832.2
2440000.0	113954.5	80129.8	162057.3
2450000.0	113999.0	80081.4	162281.9
2460000.0	114043.2	80033.0	162506.0
2470000.0	114087.1	79984.6	162729.6
2480000.0	114130.6	79936.1	162952.8
2490000.0	114173.9	79887.5	163175.4
2500000.0	114216.8	79838.9	163397.6
2510000.0	114259.5	79790.3	163619.3
2520000.0	114301.8	79741.6	163840.5
2530000.0	114343.8	79692.9	164061.2
2540000.0	114385.6	79644.1	164281.5
2550000.0	114427.0	79595.4	164501.4
2560000.0	114468.2	79546.6	164720.7
2570000.0	114509.1	79497.7	164939.6
2580000.0	114549.7	79448.9	165158.1
2590000.0	114590.0	79400.0	165376.1
2600000.0	114630.0	79351.1	165593.7
2610000.0	114669.8	79302.2	165810.8
2620000.0	114709.2	79253.2	166027.5
2630000.0	114748.5	79204.2	166243.7
2640000.0	114787.4	79155.3	166459.5
2650000.0	114826.1	79106.3	166674.9
2660000.0	114864.5	79057.3	166889.9
2670000.0	114902.7	79008.2	167104.4
2680000.0	114940.6	78959.2	167318.6
2690000.0	114978.2	78910.2	167532.3
2700000.0	115015.7	78861.1	167745.5
2710000.0	115052.8	78812.1	167958.4
2720000.0	115089.7	78763.0	168170.9
2730000.0	115126.4	78713.9	168383.0
2740000.0	115162.8	78664.9	168594.6
2750000.0	115199.0	78615.8	168805.9
2760000.0	115235.0	78566.7	169016.8
2770000.0	115270.7	78517.7	169227.3
2780000.0	115306.2	78468.6	169437.3
2790000.0	115341.4	78419.6	169647.0
2800000.0	115376.5	78370.5	169856.3
2810000.0	115411.3	78321.5	170065.3
2820000.0	115445.9	78272.4	170273.8
2830000.0	115480.2	78223.4	170482.0
2840000.0	115514.4	78174.4	170689.8
2850000.0	115548.3	78125.4	170897.2
2860000.0	115582.0	78076.4	171104.2
2870000.0	115615.5	78027.4	171310.9
2880000.0	115648.8	77978.4	171517.2
2890000.0	115681.9	77929.5	171723.2
2900000.0	115714.7	77880.5	171928.8
2910000.0	115747.4	77831.6	172134.0
2920000.0	115779.9	77782.7	172338.9
2930000.0	115812.2	77733.8	172543.4
2940000.0	115844.2	77684.9	172747.5
2950000.0	115876.1	77636.1	172951.4
2960000.0	115907.8	77587.3	173154.8
2970000.0	115939.3	77538.5	173357.9
2980000.0	115968.8	77488.1	173559.2
2990000.0	115998.2	77437.7	173760.0
