#Position (bp)	mapping quality
3921819.0	0.0
1.1765456E7	0.0
1.9609093E7	0.0
2.745273E7	0.0
3.5296367E7	0.0
4.3140004E7	0.0
5.0983641E7	0.0
5.8827278E7	0.0
6.6670915E7	0.0
7.4514552E7	0.0
8.2358189E7	0.0
9.0201826E7	0.0
9.8045463E7	0.0
1.058891E8	0.0
1.13732737E8	0.0
1.21576374E8	0.0
1.29420011E8	0.0
1.37263648E8	0.0
1.45107285E8	0.0
1.52950922E8	0.0
1.60794559E8	0.0
1.68638196E8	0.0
1.76481833E8	0.0
1.8432547E8	0.0
1.92169107E8	0.0
2.00012744E8	0.0
2.07856381E8	0.0
2.15700018E8	0.0
2.23543655E8	0.0
2.31387292E8	0.0
2.39230929E8	0.0
2.462016845E8	0.0
2.50123503E8	0.0
2.54918203E8	0.0
2.6276184E8	0.0
2.70605477E8	0.0
2.78449114E8	0.0
2.86292751E8	0.0
2.94136388E8	0.0
3.01980025E8	0.0
3.09823662E8	0.0
3.17667299E8	0.0
3.25510936E8	0.0
3.33354573E8	0.0
3.4119821E8	0.0
3.49041847E8	0.0
3.56885484E8	0.0
3.64729121E8	0.0
3.72572758E8	0.0
3.80416395E8	0.0
3.88260032E8	0.0
3.96103669E8	0.0
4.03947306E8	0.0
4.11790943E8	0.0
4.1963458E8	0.0
4.27478217E8	0.0
4.35321854E8	0.0
4.43165491E8	0.0
4.51009128E8	0.0
4.58852765E8	0.0
4.66696402E8	0.0
4.74540039E8	0.0
4.82383676E8	0.0
4.893777445E8	0.0
4.93299563E8	0.0
4.9807095E8	0.0
5.05914587E8	0.0
5.13758224E8	0.0
5.21601861E8	0.0
5.29445498E8	0.0
5.37289135E8	0.0
5.45132772E8	0.0
5.52976409E8	0.0
5.60820046E8	0.0
5.68663683E8	0.0
5.7650732E8	0.0
5.84350957E8	0.0
5.92194594E8	0.0
6.00038231E8	0.0
6.07881868E8	0.0
6.15725505E8	0.0
6.23569142E8	0.0
6.31412779E8	0.0
6.39256416E8	0.0
6.47100053E8	0.0
6.5494369E8	0.0
6.62787327E8	0.0
6.70630964E8	0.0
6.78474601E8	0.0
6.86318238E8	0.0
6.903562405E8	0.0
6.94278059E8	0.0
7.02005512E8	0.0
7.09849149E8	0.0
7.17692786E8	0.0
7.25536423E8	0.0
7.3338006E8	0.0
7.41223697E8	0.0
7.49067334E8	0.0
7.56910971E8	0.0
7.64754608E8	0.0
7.72598245E8	0.0
7.80441882E8	0.0
7.88285519E8	0.0
7.96129156E8	0.0
8.03972793E8	0.0
8.1181643E8	0.0
8.19660067E8	0.0
8.27503704E8	0.0
8.35347341E8	0.0
8.43190978E8	0.0
8.51034615E8	0.0
8.58878252E8	0.0
8.66721889E8	0.0
8.74565526E8	0.0
8.800570225E8	0.0
8.83978841E8	0.0
8.902528E8	0.0
8.98096437E8	0.0
9.05940074E8	0.0
9.13783711E8	0.0
9.21627348E8	0.0
9.29470985E8	0.0
9.37314622E8	0.0
9.45158259E8	0.0
9.53001896E8	0.0
9.60845533E8	0.0
9.6868917E8	0.0
9.76532807E8	0.0
9.84376444E8	0.0
9.92220081E8	0.0
1.000063718E9	0.0
1.007907355E9	0.0
1.015750992E9	0.0
1.023594629E9	0.0
1.031438266E9	0.0
1.039281903E9	0.0
1.04712554E9	0.0
1.054969177E9	0.0
1.060716478E9	0.0
1.0646382965E9	0.0
1.070656451E9	0.0
1.078500088E9	0.0
1.086343725E9	0.0
1.094187362E9	0.0
1.102030999E9	0.0
1.109874636E9	0.0
1.117718273E9	0.0
1.12556191E9	0.0
1.133405547E9	0.0
1.141249184E9	0.0
1.149092821E9	0.0
1.156936458E9	0.0
1.164780095E9	0.0
1.172623732E9	0.0
1.180467369E9	0.0
1.188311006E9	0.0
1.196154643E9	0.0
1.20399828E9	0.0
1.211841917E9	0.0
1.219685554E9	0.0
1.227529191E9	0.0
1.2325540185E9	0.0
1.236475837E9	0.0
1.243216465E9	0.0
1.251060102E9	0.0
1.258903739E9	0.0
1.266747376E9	0.0
1.274591013E9	0.0
1.28243465E9	0.0
1.290278287E9	0.0
1.298121924E9	0.0
1.305965561E9	0.0
1.313809198E9	0.0
1.321652835E9	0.0
1.329496472E9	0.0
1.337340109E9	0.0
1.345183746E9	0.0
1.353027383E9	0.0
1.36087102E9	0.0
1.368714657E9	0.0
1.376558294E9	0.0
1.384401931E9	0.0
1.39055972E9	0.0
1.3944815385E9	0.0
1.400089205E9	0.0
1.407932842E9	0.0
1.415776479E9	0.0
1.423620116E9	0.0
1.431463753E9	0.0
1.43930739E9	0.0
1.447151027E9	0.0
1.454994664E9	0.0
1.462838301E9	0.0
1.470681938E9	0.0
1.478525575E9	0.0
1.486369212E9	0.0
1.494212849E9	0.0
1.502056486E9	0.0
1.509900123E9	0.0
1.51774376E9	0.0
1.525587397E9	0.0
1.533431034E9	0.0
1.5382562825E9	0.0
1.542178101E9	0.0
1.549118308E9	0.0
1.556961945E9	0.0
1.564805582E9	0.0
1.572649219E9	0.0
1.580492856E9	0.0
1.588336493E9	0.0
1.59618013E9	0.0
1.604023767E9	0.0
1.611867404E9	0.0
1.619711041E9	0.0
1.627554678E9	0.0
1.635398315E9	0.0
1.643241952E9	0.0
1.651085589E9	0.0
1.658929226E9	0.0
1.666772863E9	0.0
1.6746165E9	60.000897412617725
1.679455731E9	0.0
1.6833775495E9	0.0
1.690303774E9	0.0
1.698147411E9	0.0
1.705991048E9	0.0
1.713834685E9	0.0
1.721678322E9	0.0
1.729521959E9	0.0
1.737365596E9	0.0
1.745209233E9	0.0
1.75305287E9	0.0
1.760896507E9	0.0
1.768740144E9	0.0
1.776583781E9	0.0
1.784427418E9	0.0
1.792271055E9	0.0
1.800114692E9	0.0
1.807958329E9	0.0
1.813894019E9	0.0
1.8178158375E9	0.0
1.823645603E9	0.0
1.83148924E9	0.0
1.839332877E9	0.0
1.847176514E9	0.0
1.855020151E9	0.0
1.862863788E9	0.0
1.870707425E9	0.0
1.878551062E9	0.0
1.886394699E9	0.0
1.894238336E9	0.0
1.902081973E9	0.0
1.90992561E9	0.0
1.917769247E9	0.0
1.925612884E9	0.0
1.933456521E9	0.0
1.941300158E9	0.0
1.9480681915E9	0.0
1.95199001E9	0.0
1.956987432E9	0.0
1.964831069E9	0.0
1.972674706E9	0.0
1.980518343E9	0.0
1.98836198E9	0.0
1.996205617E9	0.0
2.004049254E9	0.0
2.011892891E9	0.0
2.019736528E9	0.0
2.027580165E9	0.0
2.035423802E9	0.0
2.043267439E9	0.0
2.051111076E9	0.0
2.058954713E9	0.0
2.06679835E9	0.0
2.074641987E9	0.0
2.0816650535E9	0.0
2.085586872E9	0.0
2.090329261E9	0.0
2.098172898E9	0.0
2.106016535E9	0.0
2.113860172E9	0.0
2.121703809E9	0.0
2.129547446E9	0.0
2.137391083E9	0.0
2.14523472E9	0.0
2.153078357E9	0.0
2.160921994E9	0.0
2.168765631E9	0.0
2.176609268E9	0.0
2.184452905E9	0.0
2.192296542E9	0.0
2.19807727E9	0.0
2.2019990885E9	0.0
2.207983816E9	0.0
2.215827453E9	0.0
2.22367109E9	0.0
2.231514727E9	0.0
2.239358364E9	0.0
2.247202001E9	0.0
2.255045638E9	0.0
2.262889275E9	0.0
2.270732912E9	0.0
2.278576549E9	0.0
2.286420186E9	0.0
2.294263823E9	0.0
2.30210746E9	0.0
2.306657499E9	0.0
2.3105793175E9	0.0
2.317794734E9	0.0
2.325638371E9	0.0
2.333482008E9	0.0
2.341325645E9	0.0
2.349169282E9	0.0
2.357012919E9	0.0
2.364856556E9	0.0
2.372700193E9	0.0
2.38054383E9	0.0
2.388387467E9	0.0
2.396231104E9	0.0
2.404074741E9	0.0
2.4089068355E9	0.0
2.412828654E9	59.99223859289598
2.419762015E9	0.0
2.427605652E9	0.0
2.435449289E9	0.0
2.443292926E9	0.0
2.451136563E9	0.0
2.4589802E9	0.0
2.466823837E9	0.0
2.474667474E9	0.0
2.482511111E9	0.0
2.490354748E9	0.0
2.4972242155E9	0.0
2.501146034E9	0.0
2.506042022E9	0.0
2.513885659E9	0.0
2.521729296E9	0.0
2.529572933E9	0.0
2.53741657E9	0.0
2.545260207E9	0.0
2.553103844E9	0.0
2.560947481E9	0.0
2.568791118E9	0.0
2.576634755E9	0.0
2.580961824E9	0.0
2.5848836425E9	0.0
2.592322029E9	0.0
2.600165666E9	0.0
2.608009303E9	0.0
2.61585294E9	0.0
2.623696577E9	0.0
2.631540214E9	0.0
2.639383851E9	0.0
2.647227488E9	0.0
2.655071125E9	0.0
2.659218633E9	0.0
2.6631404515E9	0.0
2.670758399E9	0.0
2.678602036E9	0.0
2.686445673E9	0.0
2.69428931E9	0.0
2.702132947E9	0.0
2.709976584E9	0.0
2.716235854E9	0.0
2.7201576725E9	0.0
2.725663858E9	0.0
2.733507495E9	0.0
2.741351132E9	0.0
2.749194769E9	0.0
2.757038406E9	0.0
2.764882043E9	0.0
2.77272568E9	0.0
2.779123162E9	0.0
2.7830449805E9	0.0
2.788412954E9	0.0
2.796256591E9	0.0
2.804100228E9	0.0
2.811943865E9	0.0
2.819787502E9	0.0
2.8267190205E9	0.0
2.830640839E9	0.0
2.835474776E9	0.0
2.843318413E9	0.0
2.85116205E9	0.0
2.859005687E9	0.0
2.866849324E9	0.0
2.874692961E9	0.0
2.879824033E9	0.0
2.8837458515E9	0.0
2.890380235E9	0.0
2.898223872E9	0.0
2.906067509E9	0.0
2.913911146E9	0.0
