#Read position (bp)	Clipping profile
0.0	2.2544599098216036
1.0	2.2544599098216036
2.0	2.146637914134484
3.0	2.0976279160948836
4.0	1.970201921191923
5.0	1.7839639286414428
6.0	1.7251519309939227
7.0	1.6075279356988825
8.0	1.5291119388355225
9.0	1.3918839443246422
10.0	1.293863948245442
11.0	1.254655949813762
12.0	1.2056459517741618
13.0	1.1664379533424818
14.0	1.1370319545187217
15.0	1.0586159576553618
16.0	1.0292099588316017
17.0	0.9998039600078416
18.0	0.9900019603999216
19.0	0.9605959615761616
20.0	0.9213879631444815
21.0	0.9115859635365615
22.0	0.9017839639286416
23.0	0.8723779651048815
24.0	0.8429719662811215
25.0	0.8037639678494413
26.0	0.7743579690256812
27.0	0.7449519702019212
28.0	0.7253479709860812
29.0	0.6959419721623211
30.0	0.676337972946481
31.0	0.6665359733385611
32.0	0.637129974514801
33.0	0.6175259752989609
34.0	0.607723975691041
35.0	0.607723975691041
36.0	0.5685159772593609
37.0	0.5489119780435209
38.0	0.5391099784356009
39.0	0.5293079788276809
40.0	0.5097039796118409
41.0	0.5097039796118409
42.0	0.4900999803960008
43.0	0.4704959811801608
44.0	0.44108998235640073
45.0	0.4312879827484807
46.0	0.4312879827484807
47.0	0.40188198392472063
48.0	0.3920799843168006
49.0	0.38227798470888064
50.0	0.3920799843168006
51.0	0.3920799843168006
52.0	0.3920799843168006
53.0	0.38227798470888064
54.0	0.38227798470888064
55.0	0.38227798470888064
56.0	0.3920799843168006
57.0	0.3724759851009606
58.0	0.3724759851009606
59.0	0.3724759851009606
60.0	0.3724759851009606
61.0	0.3626739854930406
62.0	0.35287198588512053
63.0	0.35287198588512053
64.0	0.34306998627720053
65.0	0.33326798666928054
66.0	0.3234659870613605
67.0	0.3136639874534405
68.0	0.3136639874534405
69.0	0.2940599882376005
70.0	0.28425798862968044
71.0	0.28425798862968044
72.0	0.28425798862968044
73.0	0.28425798862968044
74.0	0.2940599882376005
75.0	0.2940599882376005
76.0	0.2940599882376005
77.0	0.2940599882376005
78.0	0.27445598902176044
79.0	0.28425798862968044
80.0	0.2940599882376005
81.0	0.2940599882376005
82.0	0.2940599882376005
83.0	0.3136639874534405
84.0	0.3234659870613605
85.0	0.33326798666928054
86.0	0.33326798666928054
87.0	0.33326798666928054
88.0	0.3136639874534405
89.0	0.3038619878455205
90.0	0.2940599882376005
91.0	0.28425798862968044
92.0	0.28425798862968044
93.0	0.28425798862968044
94.0	0.28425798862968044
95.0	0.3038619878455205
96.0	0.3136639874534405
97.0	0.33326798666928054
98.0	0.33326798666928054
99.0	0.33326798666928054
100.0	0.3136639874534405
101.0	0.3234659870613605
102.0	0.34306998627720053
103.0	0.34306998627720053
104.0	0.34306998627720053
105.0	0.3626739854930406
106.0	0.3724759851009606
107.0	0.3724759851009606
108.0	0.38227798470888064
109.0	0.3920799843168006
110.0	0.3920799843168006
111.0	0.38227798470888064
112.0	0.38227798470888064
113.0	0.38227798470888064
114.0	0.38227798470888064
115.0	0.38227798470888064
116.0	0.4116839835326407
117.0	0.44108998235640073
118.0	0.4312879827484807
119.0	0.42148598314056074
120.0	0.42148598314056074
121.0	0.4116839835326407
122.0	0.42148598314056074
123.0	0.4508919819643208
124.0	0.4704959811801608
125.0	0.5195059792197608
126.0	0.5195059792197608
127.0	0.5293079788276809
128.0	0.5685159772593609
129.0	0.5979219760831209
130.0	0.607723975691041
131.0	0.6959419721623211
132.0	0.7253479709860812
133.0	0.7547539698098412
134.0	0.7743579690256812
135.0	0.8037639678494413
136.0	0.8331699666732013
137.0	0.8527739658890414
138.0	0.9017839639286416
139.0	0.9213879631444815
140.0	0.9801999607920016
141.0	1.0390119584395217
142.0	1.186041952558322
143.0	1.2350519505979218
144.0	1.323269947069202
145.0	1.3918839443246422
146.0	1.5193099392276024
147.0	1.6565379337384827
148.0	1.685943932562243
149.0	1.6467359341305627
150.0	1.2350519505979218
