sample	read_end	cycle	frac_a	frac_c	frac_g	frac_t	frac_n
HG03953	1	82	0.29349	0.20581	0.20673	0.29397	0.00000
HG03953	1	83	0.29364	0.20540	0.20649	0.29446	0.00000
HG03953	1	84	0.29305	0.20602	0.20727	0.29365	0.00002
HG03953	1	85	0.29312	0.20595	0.20723	0.29370	0.00000
HG03953	1	86	0.29354	0.20562	0.20672	0.29411	0.00000
HG03953	1	87	0.29329	0.20560	0.20693	0.29417	0.00000
HG03953	1	88	0.29324	0.20588	0.20716	0.29371	0.00001
HG03953	1	89	0.29320	0.20615	0.20709	0.29355	0.00001
HG03953	1	90	0.29299	0.20609	0.20730	0.29362	0.00001
HG03953	1	91	0.29299	0.20593	0.20749	0.29359	0.00000
HG03953	1	92	0.29323	0.20581	0.20711	0.29385	0.00000
HG03953	1	93	0.29335	0.20574	0.20707	0.29384	0.00000
HG03953	1	94	0.29301	0.20615	0.20740	0.29343	0.00001
HG03953	1	95	0.29299	0.20596	0.20746	0.29357	0.00002
HG03953	1	96	0.29272	0.20626	0.20750	0.29352	0.00001
HG03953	1	97	0.29288	0.20610	0.20715	0.29386	0.00000
HG03953	1	98	0.29323	0.20587	0.20714	0.29374	0.00001
HG03953	1	99	0.29291	0.20603	0.20744	0.29362	0.00001
HG03953	1	100	0.29280	0.20615	0.20771	0.29334	0.00000
HG03953	1	101	0.29267	0.20620	0.20771	0.29341	0.00000
HG03953	1	102	0.29302	0.20603	0.20728	0.29367	0.00001
HG03953	1	103	0.29306	0.20611	0.20739	0.29344	0.00000
HG03953	1	104	0.29280	0.20610	0.20775	0.29335	0.00000
HG03953	1	105	0.29278	0.20616	0.20771	0.29333	0.00001
HG03953	1	106	0.29292	0.20609	0.20721	0.29377	0.00001
HG03953	1	107	0.29311	0.20578	0.20718	0.29387	0.00005
HG03953	1	108	0.29318	0.20584	0.20716	0.29381	0.00000
HG03953	1	109	0.29289	0.20610	0.20736	0.29364	0.00001
HG03953	1	110	0.29287	0.20606	0.20729	0.29377	0.00002
HG03953	1	111	0.29299	0.20582	0.20745	0.29373	0.00000
HG03953	1	112	0.29285	0.20602	0.20727	0.29387	0.00000
HG03953	1	113	0.29310	0.20580	0.20713	0.29395	0.00002
HG03953	1	114	0.29309	0.20582	0.20710	0.29398	0.00001
HG03953	1	115	0.29281	0.20603	0.20753	0.29362	0.00002
HG03953	1	116	0.29291	0.20603	0.20743	0.29363	0.00000
HG03953	1	117	0.29285	0.20585	0.20761	0.29369	0.00000
HG03953	1	118	0.29305	0.20608	0.20719	0.29365	0.00003
HG03953	1	119	0.29304	0.20589	0.20745	0.29361	0.00001
HG03953	1	120	0.29263	0.20614	0.20773	0.29348	0.00002
HG03953	1	121	0.29259	0.20621	0.20754	0.29365	0.00002
HG03953	1	122	0.29302	0.20589	0.20728	0.29378	0.00003
HG03953	1	123	0.29321	0.20584	0.20736	0.29359	0.00000
HG03953	1	124	0.29286	0.20604	0.20744	0.29362	0.00004
HG03953	1	125	0.29281	0.20597	0.20756	0.29362	0.00003
HG03953	1	126	0.29295	0.20590	0.20743	0.29368	0.00004
HG03953	1	127	0.29305	0.20585	0.20726	0.29383	0.00000
HG03953	1	128	0.29317	0.20587	0.20732	0.29360	0.00004
HG03953	1	129	0.29280	0.20598	0.20752	0.29366	0.00004
HG03953	1	130	0.29280	0.20609	0.20753	0.29359	0.00000
HG03953	1	131	0.29293	0.20607	0.20737	0.29359	0.00004
HG03953	1	132	0.29305	0.20609	0.20731	0.29353	0.00003
HG03953	1	133	0.29295	0.20604	0.20728	0.29371	0.00001
HG03953	1	134	0.29266	0.20616	0.20760	0.29356	0.00002
HG03953	1	135	0.29280	0.20616	0.20761	0.29339	0.00004
HG03953	1	136	0.29283	0.20601	0.20743	0.29372	0.00001
HG03953	1	137	0.29333	0.20571	0.20726	0.29370	0.00000
HG03953	1	138	0.29322	0.20569	0.20724	0.29383	0.00002
HG03953	1	139	0.29295	0.20583	0.20739	0.29360	0.00024
HG03953	1	140	0.29313	0.20580	0.20749	0.29353	0.00005
HG03953	1	141	0.29325	0.20573	0.20731	0.29367	0.00004
HG03953	1	142	0.29336	0.20572	0.20711	0.29377	0.00005
HG03953	1	143	0.29337	0.20570	0.20706	0.29382	0.00004
HG03953	1	144	0.29311	0.20590	0.20727	0.29369	0.00003
HG03953	1	145	0.29308	0.20584	0.20736	0.29369	0.00003
HG03953	1	146	0.29320	0.20556	0.20722	0.29396	0.00006
HG03953	1	147	0.29359	0.20546	0.20683	0.29408	0.00003
