PLOIDY ESTIMATION,,Autosomal median coverage,55.63
PLOIDY ESTIMATION,,X median coverage,27.44
PLOIDY ESTIMATION,,Y median coverage,0.00
PLOIDY ESTIMATION,,X median / Autosomal median,0.49
PLOIDY ESTIMATION,,Y median / Autosomal median,0.00
PLOIDY ESTIMATION,,Ploidy estimation,X0
