DISTINCT_MIRNA_HAIRPINS_ACCUMULATED_COUNT	Example_101	Example_102	Example_103	Example_109	Example_110	Example_111	Example_117	Example_118	Example_119	Example_125	Example_126	Example_127	Example_133	Example_134	Example_135	Example_141	Example_142	Example_143	Example_201
133	17816	9762	11372	9979	11208	7905	12295	7312	9839	11338	6903	10523	14773	6834	7505	8454	12139	42682	52939
134	18396	10631	11415	10058	11688	7905	12298	7680	10608	11356	7125	10729	14799	7347	7524	8503	12211	43447	53971
135	19348	10922	12425	10254	12008	7905	13910	7798	11274	11356	7125	10887	15789	7388	7703	9195	14336	43877	55073
136	19402	11242	13047	10507	12204	8877	14214	8165	11274	11981	7192	10919	16012	7738	7747	9876	14387	47501	55942
137	20480	11465	13525	10650	12381	9188	15039	9868	11341	12743	7292	11133	16012	7787	7997	9892	14387	48956	56891
138	20480	11855	13543	10675	12507	9568	15404	9921	11897	12787	7356	11798	16157	8281	8049	10420	14427	52760	57611
139	20480	11988	13543	10771	12566	9991	15406	9921	12163	13022	7596	12272	16723	8281	8296	11293	14427	53789	57611
140	20480	12627	13543	11418	12566	10224	15763	10294	12163	13660	8134	12272	16857	8942	8386	11586	14576	54447	58743
141	20554	12781	13543	11431	14336	10384	16537	10657	13150	13935	8216	13862	17136	8942	8396	12202	14841	55637	66105
142	20828	12791	13927	11431	14781	10669	16828	10702	13846	14700	8517	13878	18010	9525	8624	12849	14841	55637	68243
143	20897	13557	14321	11450	14781	10799	16891	11309	14063	14700	8582	14285	18099	10270	8714	13305	15792	56015	68243
144	20939	13837	14874	11456	14804	11969	17136	11467	15934	14700	9160	14686	18377	10343	10054	15671	15853	61445	70836
145	21153	14928	15498	12079	15215	12202	17478	11608	16106	15112	9320	14686	18549	10343	10267	15717	15853	62351	74227
146	21786	15318	15599	12208	15806	12619	18527	11608	16118	15395	9457	15198	19565	10343	10305	16561	16149	62694	75537
147	22319	16018	15642	12471	16040	13595	18568	12793	17159	15915	9944	16535	19917	10400	11109	16561	16701	63159	77970
148	22998	16537	15800	13081	16337	13696	19110	12793	17658	16473	10586	16704	20536	11039	11856	16893	17352	67455	84249
149	23454	16537	16253	13165	16355	13761	20337	12931	18419	16970	10615	16816	20943	11039	11864	17207	17352	67824	84818
150	23759	16588	16662	13176	17172	14481	20541	13277	18583	16970	11525	17002	20943	11088	12008	17259	18459	67855	85252
151	23902	16588	16729	14466	17721	15394	20621	13666	21448	19176	11670	17002	21148	11656	12151	17644	19893	78232	85252
152	25259	16799	17677	14631	18963	15890	20881	13728	21505	19935	11737	17002	22677	13262	12256	19019	20534	80971	85467
153	25763	17244	18698	14792	19495	16119	20892	13736	21505	20462	11789	18407	23394	13269	12286	19506	21057	85771	85467
154	26255	17303	18706	15594	20141	16119	21730	13774	21919	20482	13088	18641	23779	13269	12577	19665	21057	87285	86067
155	31418	17700	18706	15938	21100	16843	23062	13774	21975	21396	15313	21064	24511	13287	12837	19867	23001	87512	95203
156	32295	19862	18859	16427	21312	17319	23062	13977	22513	21463	15445	21895	25492	13739	13690	19970	23001	87512	104619
157	32295	20108	18896	16427	21332	17821	23427	13977	22772	21463	15817	23356	25811	13902	14247	21341	23001	93030	107459
158	32295	20198	19444	16667	22418	18456	23528	14181	23224	21463	15840	23841	28214	13902	14751	21377	23375	93030	113089
159	32883	20750	19783	17124	22913	18704	23846	14190	25158	21463	16277	25275	29274	15979	14767	21377	24055	93213	119836
160	33056	20750	19783	17124	23008	18842	24435	14456	25318	21463	16869	25727	29921	16053	15759	22249	24180	94808	119836
161	33314	20808	19905	18194	23008	19678	24455	14888	26072	21463	17720	27358	30004	16136	17063	24304	24388	104411	119836
162	33995	21687	20453	18196	23038	19702	27603	14888	27609	21463	18192	27358	31131	16136	17126	24836	24451	104889	121705
163	35581	21687	20718	18425	23038	19892	28037	16365	27609	21463	18192	27358	31437	16406	17532	25091	24544	110361	121705
164	36150	21874	21324	19150	24076	19892	28146	16953	28617	21463	18587	32156	31509	17012	17532	27852	24597	110623	130962
165	37313	22100	21881	19150	24630	19982	29521	17487	29334	21463	18587	32584	32983	17391	17906	27852	24657	117869	130962
166	40036	22573	21881	21445	26538	20260	29950	18145	29350	21463	19135	32771	32983	17391	18479	28123	25467	119638	133227
167	40758	23285	25140	22081	26942	20849	29950	18176	30137	21463	19780	32783	33028	17392	18849	28212	26368	119638	137168
168	40866	23896	29313	22081	28016	21329	29950	19758	33339	21463	20487	33091	33572	17536	19920	28680	26974	119999	137168
169	42796	24586	30188	22090	28135	22447	30101	20279	33968	21886	20631	37805	33701	17919	20536	28680	27384	122942	143993
170	43661	25200	30708	22090	28608	22796	30205	20290	36319	21910	20631	39230	34232	18685	21587	28680	28225	148539	144644
171	44227	25200	31012	22569	29446	23112	30954	20864	39077	21975	20650	39929	34382	19004	22358	31836	28225	151367	149704
172	44761	26844	31541	23242	30470	23333	31235	21135	39077	22029	20854	40774	34450	19245	22364	31898	28996	157040	151191
173	44761	27554	31649	23417	32356	24496	31237	21738	39933	22029	21218	41439	34623	19482	22914	32501	29949	161768	154541
174	44799	30113	33270	23430	32397	27314	31277	22968	40164	22873	21218	41975	35013	19834	23169	32891	31380	169688	154541
175	45225	32334	34036	23527	33159	31780	31341	22968	42336	23182	21218	42647	36811	20185	23787	35271	32054	199355	154541
176	47005	32438	34503	23606	33159	32786	33189	25480	44042	23218	21445	43207	38429	20294	25054	36505	34111	201175	155018
177	48744	36274	34925	23739	33924	32786	33198	25767	46814	23218	21508	43728	38429	20531	25604	36818	34345	202040	158698
178	50646	37216	36012	25044	35521	34988	33746	26468	46937	27613	22313	43728	39320	20531	25604	38108	34723	203850	170566
179	51470	38922	36767	25576	36647	34988	37190	26515	47071	27804	23975	44503	39806	20620	25711	38644	34723	205253	184238
180	51946	40324	38596	27625	37828	36063	37822	27159	47239	27804	24641	52015	40326	22248	27749	41259	38161	211638	197348
181	54084	40364	39607	29188	38008	36206	39231	27622	48067	27882	26175	52827	40326	24773	28898	41378	38161	215540	201460
182	55050	40600	39607	29197	41583	38052	39869	28493	49551	27882	27268	53558	42628	25674	29597	44861	39621	217999	204843
183	55785	40770	39607	29197	41583	44810	40749	29095	49562	27975	27465	54137	45462	27522	31121	45181	39681	227794	225401
184	57251	41997	40924	29585	42471	46300	41768	29223	49562	28184	28112	54137	46305	28842	31976	45262	40090	227794	226437
185	59542	43544	42880	29793	45486	46404	43567	33166	53288	28560	28255	58164	48265	32076	31976	47670	41638	229283	232089
186	59719	48165	45011	31081	48421	50272	46962	33447	53751	29031	32009	60710	48362	32796	31976	48160	44367	229283	235001
187	60203	48165	46298	31423	49238	51280	49282	34341	53751	29619	32913	61462	48791	33506	33191	48981	47493	229283	237017
188	60203	50147	47848	31423	49850	51280	50372	34693	53782	29883	32913	64517	50080	33708	33251	49214	48207	229283	241793
189	63001	51714	50486	34892	52008	52171	52332	36637	55176	30622	35448	66147	50080	34112	33751	50074	48898	233540	245277
190	63094	53478	52345	36767	52683	52271	52367	37924	55176	30882	36610	67883	50080	35359	34105	51314	49392	238286	251662
191	63499	54936	52776	36767	57007	56520	62667	38276	57009	32579	36666	69079	50241	36343	34514	51571	49904	259343	252864
192	66021	56101	52776	36767	57007	57120	62667	40221	57038	33604	38055	74667	51427	36343	34664	51571	53279	268438	253530
193	66523	58420	56501	37346	57398	58982	65141	40510	57630	34765	39153	74667	51541	37547	34664	53601	53915	273772	254421
194	68047	59318	56747	37830	58113	64640	67340	41714	57746	36557	39153	76720	51609	40195	34918	53601	56784	288175	254421
195	68313	59745	56747	39411	61510	65218	69016	42542	60828	36557	40313	77304	52392	40195	36971	53601	58913	289707	254698
196	71925	60811	56747	45148	64487	66393	69412	42886	64518	36566	41915	77875	53020	40195	37507	58650	60122	295024	266739
197	73505	60811	57423	48227	65065	66393	70478	43569	69919	36580	42881	81670	54724	40717	39494	59391	60385	298222	269012
198	74530	62475	58040	48732	67475	66961	76315	44561	70334	37551	42881	82336	55787	41546	41430	62555	61902	298544	274526
199	78191	62893	60953	49746	68684	67471	83783	44799	74072	38399	43532	83949	57327	41557	41512	65206	62249	318926	277346
200	78711	64481	63080	52115	68928	67471	85030	45459	74072	39096	44858	87919	57327	41725	42309	66277	62986	318926	277346
201	78711	64812	63937	59185	71357	69266	87115	47299	74072	39712	45433	89402	58966	42539	47227	67353	66197	319386	288736
202	78711	65462	66405	60825	71357	73342	87290	47299	84745	41732	47825	92313	59055	42627	47678	67353	67069	319386	305450
203	82717	66512	66981	63190	76405	76271	87948	47430	86498	44024	49778	93319	59143	42627	47678	67493	67295	319543	314745
204	84106	67778	68968	63862	77464	76837	89173	47606	89089	48759	50349	93789	60798	44216	50220	68910	67295	341851	322849
205	87115	77829	69243	66170	77464	80288	89422	55002	93087	49556	50942	94321	62454	44967	54512	75895	69360	357156	335143
206	90127	79183	70902	66549	77934	81056	90550	55952	93985	50238	52417	94694	62569	45873	56451	82531	70414	357156	341181
207	93367	81092	79156	67210	81488	81778	90925	58372	94410	52945	53267	98491	65233	46487	57563	87995	70787	368591	346484
208	98225	83047	79156	67808	87033	81778	91370	58372	96793	58777	53806	100423	69348	50602	59898	89321	72725	377235	349210
209	104470	83841	79973	69513	90099	91884	92227	59241	97941	60085	55366	100423	70978	53344	61053	94072	73288	377235	360970
210	104504	84057	80069	74166	91035	92183	97484	59844	99441	60884	55366	104303	71485	55573	61908	94072	78477	387894	364478
211	107164	85104	81184	76964	92449	93701	102473	61803	109948	66037	55366	104303	73675	55726	68021	94072	78928	445110	365003
212	108404	85382	90255	79361	94064	93701	102877	63937	110791	69311	55951	104303	73759	57749	69338	98707	78928	456893	373434
213	108404	88655	90849	83062	94601	93701	108036	64839	113719	70211	57553	104303	75925	58583	70426	98707	78928	471274	374410
214	110849	88766	91924	84179	94601	95381	108743	66048	115451	71914	59273	104303	82520	63809	71021	98707	78928	488000	375093
215	110849	89480	92384	89424	94601	100556	108743	66442	126281	72061	60030	104303	83223	64562	71665	98707	78928	490350	375615
216	111965	91584	94656	90458	95403	103812	110593	66625	128616	74364	62716	104303	85010	64562	74451	98707	78928	506272	388203
217	113524	96342	96366	92113	98463	106776	111381	67124	131924	74478	64599	104303	89132	66470	74451	98707	78928	509526	419275
218	114415	103748	100651	93815	98463	111655	112526	67186	133830	74768	64766	104303	90888	68344	74644	98707	78928	514801	441575
219	115018	106295	100651	95395	101885	112051	113782	74968	134048	78507	65356	104303	96403	71068	78152	98707	78928	515156	452784
220	115396	107922	102691	95395	106583	116274	114778	76469	136782	80221	66885	104303	99446	71252	78268	98707	78928	525768	465547
221	123204	109908	105020	96666	109258	116274	116620	79455	141663	82393	68500	104303	99838	71819	79956	98707	78928	525768	468262
222	123984	110053	105639	100221	109702	117083	118130	79550	143017	82691	72203	104303	100371	73197	81226	98707	78928	525768	480857
223	123984	114435	106220	104918	109928	117666	123952	83032	143134	83200	73402	104303	105605	73258	84817	98707	78928	546205	480857
224	130024	116995	113292	106343	112759	118437	124681	83032	148402	83547	74759	105025	108422	74544	87089	98707	78928	551925	498278
225	131386	116995	113703	107036	115331	118971	124681	84410	153864	83551	74853	108124	108422	76290	88217	98707	81983	561085	500277
226	136388	116995	118324	113369	121499	119939	125166	86233	155356	87717	75070	116202	108422	77565	88624	98707	82202	561085	505296
227	136454	119931	118745	113369	122281	124058	130369	87144	167657	88102	75619	117988	108422	83082	91488	102997	84958	585222	507731
228	145085	121164	124224	118434	122281	124384	132102	88565	169365	89689	75880	118348	108422	84578	91488	103005	85692	585713	510143
229	150934	122521	124224	118767	135236	129689	134665	99532	170075	95134	76860	124536	108422	84879	95239	103059	87892	612970	522835
230	150934	123888	124830	128485	151555	131837	136276	102242	170162	113434	76993	125888	108422	85618	95317	103199	89386	621030	522835
231	152366	129273	124830	131745	151741	131958	137129	104154	176352	114281	79126	128002	108422	87149	95652	107523	89604	621030	532092
232	172259	129273	126710	132155	152470	137925	138840	104154	177018	117419	79290	131232	108422	88026	97666	114063	89703	622826	553845
233	172861	130722	135040	133769	154794	138317	143408	104154	185870	122505	79290	133922	108422	90382	100156	114063	97810	635265	602274
234	175178	131542	137422	134454	157815	139164	152055	104154	190631	124865	80126	138282	108422	94688	111530	116132	97825	635265	631493
235	187817	132421	137716	136903	162941	140800	153174	104154	200311	125739	80329	138635	108422	95627	111825	121853	97928	635265	634056
236	193778	133819	140312	136903	166633	142038	161637	104154	201482	125739	80329	141615	108422	105497	116103	122146	103121	635265	641818
237	207760	135683	153396	139168	167771	142038	163140	104154	208113	127252	81206	141615	108422	107944	119085	122146	103814	635265	674255
238	210274	143023	156094	140467	172719	143391	163140	104154	209826	136094	82846	145664	110500	112280	119085	122146	104666	635265	680377
239	217065	143431	157181	143756	172719	150329	164910	104154	224074	137120	87672	146320	111827	115033	119875	126496	107764	635265	700565
240	217065	147811	159649	145693	172843	150988	169115	104154	229245	139901	90726	151676	116298	116617	120859	128318	108797	635265	751558
241	217065	148464	160546	146840	173926	153575	170240	104154	241486	145507	93092	159256	116807	116895	131869	131507	108965	635265	826677
242	217065	153516	179036	147445	175155	171627	175211	104154	242327	145507	95031	163842	116807	116895	138438	133859	113291	635265	851117
243	217065	153516	182939	155529	180393	173764	175672	104154	242513	145507	100804	163842	118881	117216	138945	133859	113893	635265	893245
244	238411	168398	187264	157791	193947	179337	182460	104154	253831	150706	102100	164098	122732	117216	142368	134576	113893	635265	977597
245	241423	168398	189707	162855	197653	181846	191189	104154	259368	154114	110231	165441	123795	123439	144303	135404	117837	635265	1071603
246	245888	171396	195529	175372	200123	183485	191912	104154	261897	154287	110231	166762	129917	127550	144443	139291	117837	635265	1091079
247	255507	173525	199742	177513	201624	184891	198038	104393	263501	163039	110231	169913	141035	129959	148142	145130	119152	635265	1098505
248	259629	173525	202865	178987	203797	189217	203384	107037	264351	167692	113013	171312	146273	137874	153465	155409	125703	638642	1111050
249	260231	174870	203909	182206	203797	196025	203384	109863	271497	168040	116413	171714	160344	141612	163621	155894	125703	681854	1120214
250	260231	183244	208216	185687	210500	199310	204846	111530	277387	168569	117525	172104	161608	141612	163621	157158	125703	716779	1196772
251	264606	184046	210839	185951	210922	200269	218912	116872	277984	168861	119529	172281	162924	144405	166686	160416	128037	748562	1224704
252	286029	185562	210879	188172	216752	211537	226644	116907	282412	169204	120561	172281	169877	149123	167577	165475	129390	749498	1239077
253	287862	192756	211215	188172	219373	213044	231152	117030	282412	169204	123525	172281	172101	152511	177997	168908	133837	757332	1259309
254	289614	195088	211370	188172	219373	213044	233881	119149	282867	169302	128078	172281	175327	152922	177997	178081	135317	785630	1349982
255	300252	200779	215848	189103	219373	217442	233881	119149	285796	170196	136498	172281	179438	156878	177997	180108	135980	895932	1372904
256	315556	201901	215848	189110	219373	220843	233881	121415	285796	170196	137851	172281	186194	163464	177997	184111	140458	920872	1380746
257	328826	210677	223187	193965	219373	230799	235121	123894	289894	180945	138772	172281	187381	166466	184758	184187	141128	937636	1419236
258	329372	211300	223570	199504	219373	236660	235121	127641	296943	194974	141696	172281	191961	168751	184758	184281	141186	937636	1450850
259	329380	211412	228229	203209	219373	246638	235121	131709	304109	195282	145565	172281	194276	174817	191623	206612	142880	937636	1451669
260	332298	219749	232225	203249	219373	247584	237801	136476	317786	196187	145753	172281	194276	177230	191762	223830	142880	937636	1455315
261	332379	238186	238326	208540	219373	247584	241657	138133	322680	199071	146368	172281	194276	178109	191762	225407	147708	961533	1473699
262	332940	247431	250069	220864	219373	247584	242980	138389	328319	203787	146967	175527	194519	179430	191804	226400	150104	1009223	1484861
263	333735	249675	250069	222394	219373	249003	243944	142268	329994	206159	150372	176743	204109	183975	195925	228636	156915	1026003	1495403
264	346615	257121	250882	222820	222782	253598	245485	142268	334143	220436	151515	182621	209921	184034	201497	232295	161716	1054645	1504950
265	350591	257121	268787	232575	226205	271000	247717	149654	349368	224771	156379	183921	209921	185412	203379	234066	163216	1098162	1543112
266	350591	257797	282004	233287	229823	272520	248643	176007	353297	228870	159716	184709	211213	189730	205263	252140	168233	1145003	1569236
267	354155	262258	283536	233287	244485	272520	252931	176594	355840	236380	161727	187809	212075	191585	206947	258738	173526	1151524	1592296
268	354155	274784	290989	236905	250976	272520	258402	179231	360146	243278	161727	190746	217302	195963	212475	260855	175355	1170252	1610711
269	381703	275267	291545	238764	251103	280210	262245	185132	371648	244898	161727	193160	224021	201524	219564	262269	191572	1181826	1634900
270	388738	285676	295130	251378	252369	292571	270141	191112	392413	246723	161727	193303	227036	203077	223117	265351	193089	1198789	1634900
271	394607	286677	295130	259384	260677	293965	270141	215591	394673	248388	161727	195928	229447	203595	223299	269372	205574	1199503	1675841
272	396866	288818	295130	272773	262562	299187	273471	237277	394952	248388	161727	196908	229447	203595	230798	270771	208692	1199503	1742933
273	414173	289148	295759	276515	263172	299492	289063	239462	399621	249279	161727	198192	233205	203595	232792	298823	217627	1226704	1742933
274	419108	292394	300890	276594	265323	300872	294475	245095	401899	274127	161727	199114	234744	208336	233156	310764	220982	1234015	1764466
275	427441	295572	308366	282074	267353	314730	294701	250409	411147	276574	161727	200640	235162	225488	235847	312601	222031	1264741	1839420
276	427441	295572	322981	283385	279299	321897	296550	253542	412250	280967	161727	201909	235782	225589	237785	319906	230575		1846104
277	429454	298976	323248	285325	279299	322552	301424	256510	419181	300510	161727	210051	238555	226257	243795	326193	232403		1858569
278	429662	301728	323767	285325	279299	322552	303713	258528	419181	307261	177677	210051	241976	231895	247193	351085	232403		1921203
279	440247	304860	323767	285325	279299	322552	311069	258867	427986	308497	181348	210298	251475	233384	248412	356734	237366		1935895
280	443181	307985	326765	285325	279299	343359	328008	265200	433811	310257	183637	214382	285088	234610	253406	358292	247157		1986199
281	449803	310074	327969	285325	279331	346722	337918	269665	447616	323205	187958	214899	289176	239203	262044	363464	249419		2002505
282	459822	315412	336278	285325	280945	355811	354544	276901	466367	323881	188793	214899	295918	251263	262044	366011	254367		2055070
283	461616	318343	343572	285325	297288	356328	358351	279342	479678	323881	189101	219601	323715	261386	262044	371250	256262		2064636
284	462119	319065	347209	285325	300376	360461	362463	285349	479678	324138	189101	219996	324355	263195	262044	383032	262806		2125703
285	472866	333520	355208	285325	303400	362159	374997	293862	479678	329819	189560	232039	328298	265029	262044	385687	262971		2129995
286	473120	336870	368445	285325	303554	362810	379593	296649	479678	340653	189960	232039	328337	267979	262044	385687	285500		2161093
287	473839	358212	371706	285325	305229	384275	379939	297885	479678	347311	210589	232039	328337	268262	262044	389080	289410		2186866
288	476369	364492	379380	285325	312581	386809	399324	307222	482951	348247	225342	233547	333239	279323	262044	426118	293680		2227332
289	478630	373086	382447	285325	322231	388403	403770	312201	495996	355044	240352	236285	340102	281933	262044	426118	293680		2382729
290	478630	374921	384357	285325	335215	397892	404776	315205	497735	355044	242578	239003	354496	287238	262044	440932	296568		2399414
291	478630	385326	395137	285325	338831	398522	413685	328003	497735	355044	246173	243233	360511	295938	262044	459207	303185		2412550
292	479147	388063	406519	285325	340118	402780	415779	339978	501775	355044	250710	243399	384025	300866	262044	479647	315299		2412687
293	488299	402074	408257	289939	346744	403528	419104	339978	503916	355044	252514	251417	384460	301461	262044	483288	327421		2416475
294	503828	402667	418427	291374	348754	409656	432134	345106	515916	355084	261268	257354	401906	321813	262044	493195	343306		2433870
295	509522	419257	419487	293757	350611	416250	443126	365211	518935	355188	270342	260469	401988	326086	262044	502079	343306		2455833
296	510118	422001	424104	295481	360119	419848	449087	377667	524333	356308	270518	262488	404462	344705	262044	505709	343306		2461421
297	519541	433538	425774	302786	367722	425355	451084	386794	541121	356308	294795	262987	412813	354144	266087	522569	343306		2476257
298	520446	438749	429319	310409	375121	428004	459489	388444	541121	368200	306953	286853	415962	357348	280642	526314	343306		2506808
299	521442	444546	437884	310409	376713	447438	468839	397827	541121	369668	318667	286855	422148	363938	291176	530758	343306		2584794
300	523414	446815	438149	311715	379397	451865	474493	399657	544183	377726	324857	295614	438544	364141	292626	543221	343306		2588634
301	523858	451151	445711	315158	405294	454877	478906	399657	545014	378345	327775	296082	441803	372384	293837	561310	343306		2618147
302	542098	461269	455072	318607	410532	455683	481545	399657	559408	383665	336409	311769	455807	372384	298639	561310	348251		2638480
303	590468	462649	465641	320279	410845	474234	481545	406190	560184	385602	361755	311769	460005	372384	306445	580056	348813		2640711
304	614205	462649	476366	333776	416325	492235	487200	411146	576814	390319	361884	321867	467456	372384	306699	588971	365865		2665847
305	616993	462649	477452	341790	435749	508757	490140	411146	581734	400034	366691	321867	476178	372384	311526	590942	370078		2749619
306	621273	476672	483647	362564	438367	508757	498153	422441	690838	408613	382005	322092	489506	372384	327795	592900	381030		2749619
307	641552	487790	489030	366768	448213	512256	509508	423031	700595	411024	382005	328095	533935	372384	328100	597313	403866		2749619
308	654267	494686	510726	380029	450587	513504	514347	442827	702760	411228	382005	340554	544573	372384	335063	598151	404050		2749619
309	664556	496008	511057	382505	451652	515393	518398	445159	706255	411353	382005	342813	547061	372384	351923	617617	407120		2749619
310	703344	496008	516255	383727	451652	521973	537014	446582	706255	416304	382005	346562	557578	372384	352416	639267	428457		2749619
311	706041	502148	516255	392888	454702	533288	545874	458649	706255	426547	382005	351681	557578	372384	359976	646607	433357		2749619
312	782657	533897	550360	402129	456224	538823	556421	459499	728859	432044	382005	367953	561504	372384	359976	648536	434492		2749619
313	788903	588193	551840	405980	458536	561973	572461	459537	742485	438335	382005	367953	562750	372384	359976	659709	435080		2749619
314	816512	609512	570884	433378	459941	563624	572755	459537	757296	446670	382005	368103	563536	372384	366074	664811	456816		2749619
315	830773	619382	570884	435665	462394	584084	585104	468893	762281	463069	382005	368155	581365	372384	370565	667106	457030		2749619
316	838131	622495	576076	440298	482081	644991	585104	471653	762281	466562	382005	372810	588145	373820	370565	675543	457836		2749619
317	852709	622495	596715	444152	489459	667622	589739	471761	790007	467818	382005	388832	601290	382304	370565	686677	466758		2749619
318	865660	622495	610877	468442	490893	681457	635002	501112	794656	467818	382005	392546	602320	387753	372959	686677	472520		2751805
319	886992	622495	621699	472238	497686	682488	673879	509814	824902	467818	382005	408169	607820	404616	377156	689513	488717		2793075
320	905291	623103	634751	472238	511988	707109	680658	525571	853933	480878	396373	410510	613552	420647	383248	699295	495007		2884981
321	910417	631068	636034	485144	520285	707904	682237	529610	865702	481876	412988	423354	627913	430618	384069	775922	503188		2936278
322	914867	631180	659177	485733	523635	708298	687592	530820	869951	500649	436210	447725	627913	431376	395207	776206	503230		3024523
323	933254	700083	668303	485733	523727	717131	696651	532526	870200	505524	436430	450446	636462	436693	398267	814307	514845		3034430
324	972269	700083	673352	485733	525726	718591	724772	545922	898394	511782	438159	462370	678274	455853	421257	816446	527091		3098199
325	978876	700296	680023	487407	543109	723052	739893	555046	922210	520883	443328	465136	679814	467222	427843	818884	528865		3103161
326	994616	707701	682975	511689	543781	723629	750921	556396	925884	521362	443328	467472	679814	488172	431884	825101	548207		3148748
327	1061511	713187	692624	527362	547668	741516	779158	567164	926080	529073	443377	473284	685559	511084	439312	833055	549567		3179965
328	1078863	713296	692658	538901	552729	743691	798486	575133	929373	543758	456285	475465	699524	518864	440752	838374	551782		3342861
329	1084380	725688	745346	542044	554666	755570	804802	576197	938594	546696	456406	477526	702511	532585	445940	850138	569563		3345535
330	1121383	725932	746280	547160	564905	772736	806082	589019	944644	560172	467667	492856	737139	534369	448332	853405	572376		3354159
331	1122345	769299	747264	550676	566250	774031	809727	589078	944644	572079	468347	511720	755162	537903	449433	858598	589264		3386919
332	1135623	769299	762000	565558	569795	784396	811637	589473	944644	573782	473924	533807	768815	571044	451861	887682	607051		3418403
333	1137554	770669	775980	580373	572912	800614	811637	596283	989126	599625	475934	550410	806315	588367	455648	941273	624320		3431879
334	1137554	773455	775980	587567	587350	802699	811637	600267	997133	615282	480945	570294	809654	590563	507011	951412	627344		3479808
335	1158584	786225	780414	601914	607692	804822	811637	604267	1014880	616017	483911	590859	839961	593768	508944	960348	630476		3574829
336	1158584	818890	801616	604193	607952	807715	811637	615350	1018160	616129	496127	616780	846666	599497	511960	967557	630476		3605960
337	1158584	850041	819655	622692	616396	836854	817565	620175	1019465	626878	497838	617558	852887	603220	536459	973547	630476		3724668
338	1158584	910665	819655	632145	620157	864458	821982	623453	1027933	629629	514574	617558	859322	604499	551570	1083852	630476		3797083
339	1158584	913110	819655	639786	641879	873734	840642	623600	1029324	642591	525162	624968	886917	612179	554177	1105487	630476		3851774
340	1158584	913110	866766	649219	641879	910234	843206	634234	1055564	662669	529360	627249	917489	630102	570059	1115180	630476		3935476
341	1158584	926300	872894	653830	641879	925394	851317	665109	1072151	677080	531307	654639	926509	637635	576357	1115180	630476		4023254
342	1158584	985097	873590	661987	642672	956529	900246	680886	1076462	691037	534669	693996	960815	650351	576357	1120815	636822		4023254
343	1158584	1002123	877587	664903	671672	965340	900246	680886	1076462	702893	538585	696791	972513	672661	593143	1125803	643372		4027264
344	1158584	1004617	903917	668262	671672	969712	900246	688629	1076462	702893	539720	700057	972513	672661	614309	1125803	643372		4345128
345	1158584	1008044	917585	669546	671672	992366	900246	691882	1076462	710216	539720	711347	975244	672661	654643	1125803	648478		4406012
346	1159203	1019389	939290	689350	687734	1019425	900246	695024	1076462	710885	539720	711347	975244	672661	658129	1125803	649347		4683625
347	1174097	1024038	940032	727836	689326	1035341	900246	716593	1076462	725868	541378	712083	976600	710640	658790	1125803	681211		4709951
348	1191849	1027369	948277	733191	690683	1043524	900246	726383	1076462	726415	541378	730057	1013452	729308	672441	1125803	697041		4737580
349	1194220	1031823	1017667	734099	698115	1062364	900246	774520	1076462	727986	544765	739237	1014970	735634	674286	1125803	699821		4864210
350	1194220	1072008	1046046	738645	698115	1077794	900246	796946	1076462	804265	556492	768987	1019385	735634	683609	1125803	700552		4918531
351	1205691	1074691	1061083	744557	710834	1091172	900246	796946	1076462	810576	565350	779752	1056041	740888	686350	1125803	710840		4944369
352	1205949	1084915	1080830	752158	712753	1095008	900246	796946	1076462	827805	594560	780514	1060339	748612	686350	1125803	720857		4946078
353	1215110	1089101	1089696	758089	719701	1153863	922916	825548	1076462	837525	596701	784334	1077696	753206	686350	1125803	724999		5000454
354	1216135	1089852	1119242	758984	724337	1153863	934577	837971	1076462	859806	622604	801759	1106357	766966	693848	1131137	729816		5018178
355	1242544	1092053	1119242	760941	730197	1153863	936578	843457	1076462	863805	626028	803492	1114235	775595	716535	1142517	731065		5131937
356	1242544	1098910	1119242	810827	739921	1153863	936855	850703	1076849	866618	631005	805673	1115088	775595	718372	1149844	746781		5149940
357	1290999	1103045	1119242	812385	756945	1153863	961979	852168	1082793	892781	631630	846496	1149783	775595	722385	1160813	748565		5160958
358	1336749	1107767	1119242	815596	801741	1153863	961979	866730	1126734	932905	651282	874880	1158174	809609	749386	1175069	784208		5176544
359	1348511	1121430	1119242	855076	813283	1153863	990897	869306	1163177	933389	655235	875074	1164966	816819	759272	1189305	787909		5293329
360	1388366	1145753	1119242	859141	833109	1153863	994461	879291	1163177	942568	662583	878108	1181845	821401	774761	1240646	803204		5293329
361	1395303	1185040	1119242	885827	856776	1153863	1012678	892557	1188894	957323	669456	887712	1186100	821401	778589	1240646	838420		5446959
362	1400210	1193545	1119242	903932	902474	1153863	1056815	910335	1193993	958855	675290	941017	1197934	837512	791194	1280474	869899		5446959
363	1412809	1214881	1119242	910422	914278	1153863	1056815	912052	1205756	969661	675290	947993	1197934	847356	793641	1280709	874866		5446959
364	1414437	1236568	1119242	912868	915858	1153863	1056815	920683	1212518	1004268	709473	947993	1200748	855970	793922	1283888	874866		5474762
365	1414437	1257503	1121072	912868	925119	1153863	1056815	920683	1217077	1009195	709473	955021	1215376	869414	798437	1311655	884736		5474762
366	1427080	1261912	1147191	948621	937259	1153863	1056815	926774	1219568	1029100	709473	986716	1218339	878427	799967	1350832	927748		5474762
