#sample_id	predicted_ancestry	given_ancestry	EAS_prob	AFR_prob	AMR_prob	SAS_prob	EUR_prob	PC1	PC2	PC3	PC4	PC5
HG02923	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	62.5856	-17.9350	-0.7281	1.9600	4.2868
NA19355	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	59.9675	-16.3440	0.5350	1.3430	-0.8479
HG02075	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.4955	-44.4002	1.5756	5.9838	-0.5943
NA20826	EUR	EUR	0.0000	0.0000	0.0182	0.0000	0.9818	1.7424	13.0725	3.5344	10.2844	-2.3479
NA19720	AMR	AMR	0.0000	0.0000	1.0000	0.0000	0.0000	-0.1314	-12.3058	16.9527	-17.8010	5.1798
HG03692	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.0002	-10.0960	-20.6623	-3.6593	-0.0921
HG01357	AMR	AMR	0.0004	0.0000	0.9259	0.0001	0.0736	-0.4438	1.0638	11.2104	-3.3362	4.3666
NA12004	EUR	EUR	0.0000	0.0000	0.0020	0.0000	0.9980	0.5648	12.7273	3.6903	10.0865	1.0126
HG02888	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	61.1280	-17.1346	-0.1057	1.0248	-2.7139
HG00274	EUR	EUR	0.0000	0.0000	0.0850	0.0000	0.9150	-1.1670	11.2284	4.4523	9.4457	4.6645
NA18939	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-6.9190	-44.4101	2.6279	5.0591	11.0859
HG03370	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	62.0480	-17.3438	0.6895	1.4317	3.0076
HG03241	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	62.3493	-18.1466	-0.5442	-0.2581	1.8412
NA19471	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	59.3874	-16.4622	0.2556	1.8512	4.2192
HG00108	EUR	EUR	0.0000	0.0000	0.0460	0.0000	0.9540	-1.2555	11.5431	6.5394	8.7439	5.5640
HG01060	AMR	AMR	0.0000	0.0000	0.9484	0.0000	0.0516	5.2695	5.0250	8.2788	2.8978	6.6163
HG02727	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.1429	-7.7595	-17.2279	-4.9876	4.3346
NA12777	EUR	EUR	0.0000	0.0000	0.3112	0.0000	0.6888	-0.1884	13.7462	3.6885	8.6186	5.6277
HG03394	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	63.8016	-16.8873	-0.5634	1.5040	5.6938
HG01190	AMR	AMR	0.0037	0.0052	0.9907	0.0000	0.0003	7.4979	-0.4265	8.2696	-2.6830	-0.1461
HG02786	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	2.0684	-8.5177	-17.8960	-3.6601	2.1711
HG02371	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.7013	-45.3859	2.1551	7.0537	-2.0991
NA19374	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	59.7897	-16.5000	0.3728	3.5220	3.0054
HG02660	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.9644	-1.3201	-12.6263	-2.9778	4.1183
NA18983	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-8.2892	-44.0252	3.3266	5.2985	11.1582
HG03793	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.3013	-10.7994	-20.5011	-4.1103	-1.0927
HG02385	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-6.7092	-43.9704	1.2018	8.1877	-1.8698
HG01447	AMR	AMR	0.0000	0.0000	0.7780	0.0000	0.2220	3.5091	1.7182	8.3553	-2.4394	4.2107
HG00116	EUR	EUR	0.0000	0.0000	0.1795	0.0000	0.8205	0.2672	12.7714	5.3261	9.5840	3.3701
HG02642	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	60.6807	-17.5061	0.9008	0.8331	5.7632
NA19149	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	63.5337	-16.3536	0.0043	1.9228	2.9684
NA19058	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.2695	-43.0600	3.0216	5.2242	5.0687
