#sample_id	predicted_ancestry	given_ancestry	EAS_prob	AFR_prob	AMR_prob	SAS_prob	EUR_prob	PC1	PC2	PC3	PC4	PC5
HG01064	EUR	AMR	0.0000	0.0000	0.1847	0.0000	0.8153	10.9097	5.8673	5.7908	3.6406	-0.5962
NA19732	AMR	AMR	0.0000	0.0000	1.0000	0.0000	0.0000	-7.0325	-24.7306	20.5809	-35.9062	2.8007
HG03126	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	62.9315	-17.8028	0.2025	1.2680	2.6587
NA18873	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	62.5059	-17.3824	-0.2851	2.1443	3.4885
HG03873	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	2.2164	-8.6052	-20.6188	-4.5835	-0.7000
HG03578	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	64.2248	-16.3901	-0.0150	2.0911	2.1137
HG00331	EUR	EUR	0.0000	0.0000	0.0287	0.0000	0.9713	-1.1279	9.8461	6.1275	8.0127	0.3491
HG03684	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.7467	-12.1368	-21.8687	-5.7419	0.6952
NA12383	EUR	EUR	0.0000	0.0000	0.0215	0.0000	0.9785	0.8928	13.0270	3.3403	9.8361	0.4840
HG03058	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	61.5800	-17.4024	-0.1701	1.5125	5.0848
NA19758	AMR	AMR	0.0000	0.0000	1.0000	0.0000	0.0000	-3.8391	-15.7164	15.6652	-24.4737	1.2463
HG02586	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	60.7277	-17.3692	-0.8107	2.0246	2.5426
HG00407	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.5868	-45.0749	1.1106	7.3147	1.7095
HG01694	EUR	EUR	0.0000	0.0000	0.0004	0.0000	0.9996	5.2241	12.6002	3.5364	8.4840	1.2202
HG03640	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	0.8389	-8.2992	-17.7148	-4.3920	1.5724
HG01073	AMR	AMR	0.0000	0.0000	0.9921	0.0000	0.0079	5.7788	4.0818	7.1167	1.9613	1.0280
HG00189	EUR	EUR	0.0001	0.0000	0.2529	0.0001	0.7468	-2.6957	7.0346	7.1072	10.2165	4.2861
HG02087	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.8281	-41.3732	0.5135	8.0891	0.6933
NA19042	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	58.2172	-16.3299	-1.2738	1.3635	2.5396
HG01488	AMR	AMR	0.0000	0.0012	0.9876	0.0000	0.0112	9.4315	2.9783	6.2734	1.5708	2.9796
HG01791	EUR	EUR	0.0000	0.0000	0.0055	0.0000	0.9945	1.1066	12.5719	3.2246	8.9969	3.3093
HG03750	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	3.0038	-7.4693	-18.5153	-5.3651	6.2209
HG01187	AMR	AMR	0.0000	0.0008	0.9992	0.0000	0.0000	7.3616	-3.3343	9.8748	-4.8903	2.8569
NA21142	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.0832	-6.4433	-18.0696	-4.8666	2.8599
HG02332	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	56.3110	-15.3971	-0.4448	2.1434	1.5634
NA18523	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	63.0555	-17.1540	-0.6362	1.0455	4.3164
HG02775	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.4227	-7.0112	-20.1509	-3.8632	2.3607
HG03052	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	62.4413	-16.7615	-1.5004	2.2468	2.6882
