WTCHG_171117_262	WTCHG_171117_264	
27.022	29.383383	
26.942	29.377377	
26.938	29.395395	
26.941	29.364365	
26.904	29.423424	
26.873	29.396397	
26.844	29.401402	
26.825	29.43143	
26.825	29.405405	
26.789	29.393393	
26.773	29.302301	
26.763	29.224224	
26.744	29.18018	
26.749	29.16016	
26.781	29.188189	
26.825	29.187187	
26.873	29.216217	
26.904	29.215216	
26.859	29.14014	
26.926	29.14014	
26.853	29.183184	
26.915	29.13914	
26.869	29.13914	
26.811	29.083082	
26.785	29.166166	
26.84	29.075075	
26.858	29.078077	
26.915	28.973974	
26.92	29.03103	
26.98	29.117117	
26.889	29.083082	
26.895	29.138138	
26.875	29.087088	
26.917	29.089088	
26.846	29.091091	
26.807	29.077078	
26.768	29.011011	
26.82	29.004004	
26.795	28.976976	
26.8	28.993994	
26.765	29.02903	
26.76	28.966967	
26.706	28.91992	
26.7	28.871872	
26.657	28.886887	
26.598	28.793795	
26.617619	28.732733	
26.53954	28.72873	
26.564564	28.64965	
26.565565	28.583584	
26.578579	28.562563	
26.54955	28.644644	
26.535536	28.645645	
26.515516	28.61962	
26.567568	28.585585	
26.48849	28.562563	
26.494495	28.546547	
26.492493	28.49049	
26.504505	28.411411	
26.461462	28.346346	
26.391392	28.31031	
26.34935	28.33033	
26.411411	28.438438	
26.396397	28.444445	
26.423424	28.417418	
26.445446	28.43143	
26.442442	28.474474	
26.457457	28.467468	
26.483484	28.463463	
26.541542	28.464464	
26.546547	28.427427	
26.557558	28.381382	
26.610611	28.352352	
26.611612	28.284285	
26.606607	28.28128	
26.616617	28.355356	
26.585585	28.345345	
26.63864	28.331331	
26.722723	28.253254	
26.784784	28.306307	
26.73974	28.371372	
26.793795	28.352352	
26.744745	28.346346	
26.734735	28.2993	
26.705706	28.265265	
26.654655	28.249249	
26.667667	28.208208	
26.6997	28.204205	
26.725725	28.13914	
26.735735	28.144144	
26.742743	28.168169	
26.680681	28.202202	
26.66967	28.18018	
26.677677	28.165165	
26.554554	28.135136	
26.53954	28.192192	
26.575575	28.200201	
26.536537	28.167168	
26.532532	28.142141	
26.597597	28.153152	
26.517517	28.164164	
26.55055	28.136137	
26.485485	28.135136	
26.522522	28.081081	
26.532532	28.042042	
26.555555	27.998999	
26.523523	27.88889	
26.526527	27.774775	
26.526527	27.754755	
26.569569	27.697699	
26.537537	27.635635	
26.557558	27.644644	
26.438438	27.690691	
26.436436	27.71071	
26.452452	27.676676	
26.428429	27.696697	
26.432432	27.661661	
26.437437	27.65065	
26.386387	27.613613	
26.368368	27.567568	
26.332333	27.562563	
26.3003	27.56857	
26.204205	27.495495	
