## htsjdk.samtools.metrics.StringHeader		
# MeanQualityByCycle --CHART_OUTPUT Sample1_uncollapsed_FM_mean_quality_by_cycle.pdf --INPUT /var/lib/cwl/stg9a6368fe-9709-4de4-a257-3f1d3ccbc31e/Sample1_uncollapsed_FM.bam --OUTPUT C-4A5HWK-N019-d13_uncollapsed_FM_mean_quality_by_cycle.txt --TMP_DIR /tmp --REFERENCE_SEQUENCE /var/lib/cwl/stg4b7ba519-8180-4fbd-85e9-ef0a6f5fb948/hg19_virus.fasta --ALIGNED_READS_ONLY false --PF_READS_ONLY false --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false		
## htsjdk.samtools.metrics.StringHeader		
# Started on: Sun Nov 10 00:44:46 GMT 2024		
		
		
## HISTOGRAM	java.lang.Integer	
CYCLE	MEAN_QUALITY	MEAN_ORIGINAL_QUALITY
47	36.232693	36.651047
48	36.270681	36.651047
49	36.251882	36.651047
50	36.246192	36.651047
51	36.194822	36.651047
52	36.208218	36.651047
53	36.079528	36.651047
54	36.086053	36.651047
55	36.08548	36.651047
56	36.097077	36.651047
57	36.121742	36.651047
58	36.08893	36.651047
59	36.029263	36.651047
60	36.078284	36.651047
61	36.076024	36.651047
62	35.981347	36.651047
63	36.031172	36.651047
64	36.019758	36.651047
65	36.008903	36.651047
66	35.994064	36.651047
67	35.977782	36.651047
68	35.922831	36.651047
69	35.946736	36.651047
70	35.922698	36.651047
71	35.906503	36.651047
72	35.843804	36.651047
73	35.850345	36.651047
74	35.845176	36.651047
75	35.797248	36.651047
76	35.832958	36.651047
77	35.836331	36.651047
78	35.805774	36.651047
79	35.741198	36.651047
80	35.787276	36.651047
81	35.765825	36.651047
82	35.738302	36.651047
83	35.74063	36.651047
84	35.743093	36.651047
85	35.740199	36.651047
86	35.722221	36.651047
87	35.703903	36.651047
88	35.690043	36.651047
89	35.67144	36.651047
90	35.641557	36.651047
91	35.658414	36.651047
92	35.630492	36.651047
93	35.599236	36.651047
94	35.603796	36.651047
95	35.585472	36.651047
96	35.573014	36.651047
97	35.556068	36.651047
98	35.526534	36.651047
99	35.43877	36.651047
100	35.474456	36.651047
101	35.474955	36.651047
102	35.486055	36.651047
103	35.414062	36.651047
104	35.424861	36.651047
105	35.379152	36.651047
106	35.30175	36.651047
107	35.354471	36.651047
108	35.269354	36.651047
109	35.32728	36.651047
110	35.285186	36.651047
111	35.268626	36.651047
112	35.198187	36.651047
113	35.229047	36.651047
114	35.223255	36.651047
115	35.226289	36.651047
116	35.227575	36.651047
117	35.225238	36.651047
118	35.206717	36.651047
119	35.129195	36.651047
120	35.119988	36.651047
121	35.112479	36.651047
122	35.076992	36.651047
123	35.053081	36.651047
124	35.000793	36.651047
125	35.00823	36.651047
126	34.996819	36.651047
127	34.933141	36.651047
128	34.945958	36.651047
129	34.948647	36.651047
130	34.924798	36.651047
131	34.870311	36.651047
132	34.85059	36.651047
133	34.791475	36.651047
134	34.749206	36.651047
135	34.719326	36.651047
136	34.776243	36.651047
137	34.725302	36.651047
138	34.637014	36.651047
139	34.608712	36.651047
140	34.574586	36.651047
141	34.56268	36.651047
142	34.555751	36.651047
143	34.500427	36.651047
144	34.52513	36.651047
145	34.54813	36.651047
146	33.798525	36.651047
147	36.396119	36.651047
148	36.323964	36.651047
149	36.332735	36.651047
150	36.332364	36.651047
151	36.260088	36.651047
152	36.29836	36.651047
153	36.2751	36.651047
154	36.284731	36.651047
155	36.283835	36.651047
156	36.282594	36.651047
157	36.280988	36.651047
158	36.263331	36.651047
159	36.243281	36.651047
160	36.232479	36.651047
161	36.241118	36.651047
162	36.214985	36.651047
163	36.208904	36.651047
164	36.201748	36.651047
165	36.112771	36.651047
166	36.121955	36.651047
167	36.147472	36.651047
168	36.125673	36.651047
169	36.115165	36.651047
170	36.108666	36.651047
171	36.104729	36.651047
172	36.078065	36.651047
173	36.003211	36.651047
174	36.015079	36.651047
175	36.023329	36.651047
176	36.034734	36.651047
177	36.003303	36.651047
178	35.999093	36.651047
179	35.956051	36.651047
180	35.969424	36.651047
181	35.9431	36.651047
182	35.925797	36.651047
183	35.918581	36.651047
184	35.885863	36.651047
185	35.871113	36.651047
186	35.855479	36.651047
187	35.847822	36.651047
188	35.825721	36.651047
189	35.753292	36.651047
190	35.749238	36.651047
191	35.700722	36.651047
192	35.694231	36.651047
193	35.666768	36.651047
194	35.612425	36.651047
195	35.608731	36.651047
196	35.611421	36.651047
197	35.591675	36.651047
