BISCUITqc CpG Retention by Read Position Table
ReadInPair	Position	Conversion/Retention	Count
2	51	C	27362
2	51	R	109178
2	52	C	27271
2	52	R	109032
2	53	C	27530
2	53	R	108161
2	54	C	26971
2	54	R	107898
2	55	C	27150
2	55	R	106670
2	56	C	26618
2	56	R	106070
2	57	C	26913
2	57	R	105573
2	58	C	26432
2	58	R	102091
2	59	C	26339
2	59	R	102527
2	60	C	25973
2	60	R	100581
2	61	C	25682
2	61	R	99295
2	62	C	25450
2	62	R	98612
2	63	C	25000
2	63	R	97196
2	64	C	24620
2	64	R	95716
2	65	C	24436
2	65	R	93844
2	66	C	24488
2	66	R	91917
2	67	C	23868
2	67	R	91335
2	68	C	23632
2	68	R	90420
2	69	C	23297
2	69	R	89579
2	70	C	23225
2	70	R	87949
2	71	C	23061
2	71	R	87414
2	72	C	22632
2	72	R	86259
2	73	C	22007
2	73	R	84032
2	74	C	21651
2	74	R	82238
2	75	C	16252
2	75	R	62129
2	76	C	10988
2	76	R	43535
2	77	C	10777
2	77	R	42627
2	78	C	10776
2	78	R	42515
2	79	C	10552
2	79	R	42235
2	80	C	10580
2	80	R	42058
2	81	C	10318
2	81	R	41697
2	82	C	10527
2	82	R	41445
2	83	C	10171
2	83	R	41379
2	84	C	10142
2	84	R	40456
2	85	C	10073
2	85	R	39860
2	86	C	10204
2	86	R	40292
2	87	C	10029
2	87	R	40223
2	88	C	10102
2	88	R	39814
2	89	C	10063
2	89	R	39730
2	90	C	9840
2	90	R	39335
2	91	C	9857
2	91	R	38913
2	92	C	9487
2	92	R	38736
2	93	C	9468
2	93	R	38597
2	94	C	9518
2	94	R	38339
2	95	C	9733
2	95	R	38262
2	96	C	9450
2	96	R	37367
2	97	C	9337
2	97	R	36436
2	98	C	9185
2	98	R	35631
2	99	C	8949
2	99	R	34610
2	100	C	4405
2	100	R	17298
2	101	C	11
2	101	R	10
