BISCUITqc CpH Retention by Read Position Table
ReadInPair	Position	Conversion/Retention	Count
2	43	C	4653826
2	43	R	29510
2	44	C	4648614
2	44	R	29423
2	45	C	4648675
2	45	R	29393
2	46	C	4642265
2	46	R	29475
2	47	C	4492074
2	47	R	27606
2	48	C	4332207
2	48	R	25857
2	49	C	4315446
2	49	R	26096
2	50	C	3751672
2	50	R	22853
2	51	C	3189323
2	51	R	19997
2	52	C	3183102
2	52	R	20195
2	53	C	3171663
2	53	R	19814
2	54	C	3162595
2	54	R	19784
2	55	C	3149529
2	55	R	19843
2	56	C	3130516
2	56	R	19547
2	57	C	3108249
2	57	R	19359
2	58	C	3086117
2	58	R	19050
2	59	C	3056758
2	59	R	18439
2	60	C	3026360
2	60	R	18447
2	61	C	2999148
2	61	R	17579
2	62	C	2968430
2	62	R	17355
2	63	C	2938328
2	63	R	17494
2	64	C	2910850
2	64	R	17119
2	65	C	2888945
2	65	R	16683
2	66	C	2862590
2	66	R	16298
2	67	C	2838721
2	67	R	15845
2	68	C	2807493
2	68	R	15503
2	69	C	2784404
2	69	R	15352
2	70	C	2758976
2	70	R	15009
2	71	C	2731136
2	71	R	14845
2	72	C	2699954
2	72	R	14893
2	73	C	2671458
2	73	R	14235
2	74	C	2641827
2	74	R	13961
2	75	C	1979602
2	75	R	10252
2	76	C	1324841
2	76	R	7165
2	77	C	1311179
2	77	R	6977
2	78	C	1300443
2	78	R	7054
2	79	C	1289098
2	79	R	7060
2	80	C	1279704
2	80	R	6861
2	81	C	1271381
2	81	R	6849
2	82	C	1263069
2	82	R	6629
2	83	C	1255354
2	83	R	6575
2	84	C	1246897
2	84	R	6705
2	85	C	1239926
2	85	R	6765
2	86	C	1233216
2	86	R	6848
2	87	C	1230349
2	87	R	6448
2	88	C	1225650
2	88	R	6262
2	89	C	1222617
2	89	R	6414
2	90	C	1215393
2	90	R	6292
2	91	C	1213395
2	91	R	6301
2	92	C	1206397
2	92	R	6465
2	93	C	1201897
2	93	R	6337
2	94	C	1198234
2	94	R	6273
2	95	C	1194558
2	95	R	6138
2	96	C	1189702
2	96	R	6057
2	97	C	1177901
2	97	R	6027
2	98	C	1170009
2	98	R	5748
2	99	C	1158418
2	99	R	5791
2	100	C	575934
2	100	R	2805
2	101	C	267
2	101	R	15
