CTRL-rep1	CTRL-rep2	CTRL-rep3	ESRP-DKO-rep1	ESRP-DKO-rep2	ESRP-DKO-rep3	
38.283	38.24	37.894	38.988	43.426	40.215	
38.401	38.05806	37.823822	39.113	43.486	40.324	
38.433	38.194195	37.95095	39.274	43.634	40.388	
38.453	38.317318	37.977978	39.202	43.606	40.315	
38.334335	38.28028	38.01101	39.314	43.735	40.397	
38.295296	38.025024	38.213215	39.373	43.838	40.261	
38.337337	38.197197	38.39039	39.559	43.946	40.231	
38.294292	38.237236	38.61762	39.487	44.074	40.258	
38.245247	38.37237	38.560562	39.528	44.019	40.147	
38.303303	38.512512	38.482483	39.726	43.957	40.219	
38.361362	38.61762	38.555557	39.838	44.038	40.286	
38.424423	38.67968	38.577576	40.016	44.018	40.205	
38.61061	38.7027	38.495495	40.242	44.101	40.373	
38.66066	38.565567	38.502502	40.095	43.941	40.186	
38.681683	38.394394	38.77778	40.181	43.993	40.26	
38.61762	38.38839	38.78779	40.363	44.037	40.19	
38.653652	38.485485	38.853855	40.43	43.993996	40.281	
38.641644	38.077076	38.952953	40.545	43.923923	40.418	
38.772774	37.9019	38.974976	40.587	43.93093	40.535	
38.83884	38.122124	39.004005	40.704	44.025024	40.633	
38.84985	38.237236	39.014015	40.718	44.18919	40.657	
39.026028	38.279278	39.046047	40.665	44.24124	40.803	
39.038036	38.284283	39.09009	40.898	44.449448	40.894	
39.053055	38.263264	39.224224	40.998	44.48048	40.968	
39.053055	38.23924	39.246246	41.052	44.37838	41.145	
39.12012	38.254253	39.286285	41.069	44.175175	41.435	
39.172173	38.276276	39.395397	41.265	44.253254	41.41	
39.206207	38.207207	39.377377	41.34	44.257256	41.472	
38.987988	38.084167	39.374374	41.216217	44.124123	41.392	
39.021023	38.122246	39.33934	41.253254	44.253254	41.409	
39.05005	38.009018	39.36036	41.276276	44.2973	41.462	
39.14114	38.188377	39.42843	41.279278	44.384384	41.695	
39.154156	38.221443	39.383385	41.30931	44.234234	41.766	
39.157158	38.18637	39.384384	41.191193	44.25125	41.815	
39.132133	38.255512	39.507507	41.284283	44.31131	41.759	
39.157158	38.24148	39.782784	41.44044	44.331333	41.808	
39.253254	38.225452	39.8989	41.46146	44.395397	41.746	
39.41942	38.48096	40.08208	41.516518	44.41041	41.821	
39.4995	38.573147	40.22022	41.550552	44.462463	42.023	
39.36837	38.595192	40.282284	41.69069	44.365364	42.187	
39.38238	38.468937	40.387386	41.62162	44.154156	42.163	
39.442444	38.580162	40.452454	41.744488	44.172173	42.234	
39.45145	38.591183	40.452454	41.826653	44.084084	42.209	
39.612614	38.631264	40.473473	41.678356	44.19319	42.249	
39.624626	38.672344	40.588177	41.676353	44.298298	42.309	
39.5005	38.755512	40.54509	41.742485	44.433434	42.575	
39.454456	38.883766	40.661324	41.732464	44.506508	42.633	
39.523525	38.907814	40.72645	41.746494	44.624626	42.744	
39.53954	38.983967	40.945892	41.75451	44.726727	42.827	
39.54955	38.934868	40.993988	41.928856	44.824825	42.885	
39.566566	39.00501	41.091183	42.103207	44.817818	42.926	
39.240242	38.98096	41.063126	42.059116	45.153152	42.80981	
39.25826	38.97896	41.27984	42.03507	45.087086	42.841843	
39.240242	38.952908	41.295887	41.891785	45.237236	42.89189	
39.31932	38.957916	41.33735	41.87375	45.347347	43.06006	
39.366367	39.04108	41.421688	41.96593	45.41241	43.04204	
39.314316	39.013027	41.358433	42.168335	45.47948	43.42142	
39.40841	39.270542	41.321285	42.252506	45.62062	43.63964	
39.51351	39.306614	41.497993	42.31964	45.65065	43.667667	
39.28028	39.298595	41.522087	42.36473	45.3984	43.78979	
39.312313	39.318638	41.51004	42.430862	45.42843	43.775776	
39.37037	39.287575	41.59739	42.351704	45.533535	43.78979	
39.42042	39.44389	41.517067	42.36974	45.6006	43.884884	
39.216217	39.491985	41.452263	42.481964	45.61061	43.904903	
39.41842	39.497997	41.57588	42.597195	45.76877	43.96697	
39.57958	39.573147	41.698494	42.722446	45.625626	44.04204	
39.516518	39.56613	41.79598	42.78056	45.784786	44.187187	
39.395397	39.59619	41.821106	42.80962	45.613613	44.151302	
39.442444	39.68537	41.801006	42.82966	45.615616	44.08116	
39.28829	39.652306	41.764824	43.058117	45.847847	44.181362	
39.256256	39.81363	41.809044	43.13527	45.867867	43.56012	
39.298298	39.841682	41.744724	43.225452	46.126125	43.578156	
39.292294	39.904808	41.607647	43.263527	46.217216	43.75651	
39.23123	39.913826	41.70292	43.292583	46.306305	43.857716	
39.23123	40.006012	41.75428	43.36473	46.43744	43.855713	
39.371372	40.086174	42.093655	43.43186	46.713715	43.919838	
39.323322	40.05611	42.100704	43.458374	46.72973	43.87976	
39.215214	40.122246	42.00302	43.472416	46.67868	43.940884	
39.433434	40.15431	42.032227	43.589767	46.586586	43.956913	
39.495495	40.22445	42.31319	43.7001	46.54955	44.19439	
39.58959	40.28657	42.155087	43.722168	46.539078	44.232464	
39.340683	40.351704	42.223564	43.79639	46.531063	44.21343	
39.37475	40.28657	42.263103	43.974926	46.53407	44.285572	
39.46493	40.36573	42.330647	44.012035	46.43587	44.24349	
39.332664	40.493988	42.541332	43.94985	46.492985	44.338676	
39.336674	40.578156	42.038307	43.901707	46.54108	44.4333	
39.195393	40.453907	42.013103	43.83952	46.57014	44.39017	
39.28586	40.577156	42.05746	44.004013	46.62525	44.640923	
39.38315	40.571144	42.04234	43.994984	46.593185	44.738216	
39.4995	40.68036	41.989918	44.119358	46.63527	44.785355	
39.489468	40.89579	42.10999	44.095287	46.67936	45.082245	
39.411232	40.877754	42.147327	44.039116	46.697395	44.81645	
39.377132	40.930862	42.226036	44.22969	46.688377	44.82229	
39.300903	40.983967	42.26539	44.22066	46.82866	44.871487	
39.44935	40.94389	42.39758	44.270813	46.72445	45.13755	
39.422268	41.118237	42.43189	44.208626	46.72846	45.102512	
39.41424	41.16433	42.523712	44.303913	46.659317	45.084423	
39.36008	41.21343	42.601414	44.304916	46.727455	44.90553	
39.371113	41.128258	42.54894	44.281845	46.748497	44.843216	
39.34002	41.099197	42.599396	44.31595	46.85972	44.851105	
39.52357	41.285572	42.610493	44.464394	47.0511	44.890343	
39.525578	41.322647	42.748737	44.544636	47.159317	44.87827	
39.71314	41.27154	42.821392	44.571716	47.22445	44.94165	
39.613842	41.40982	43.005047	44.617855	47.19439	44.700203	
39.644936	41.43932	43.02321	44.780342	47.257515	44.709255	
39.675026	41.487953	42.91322	44.832497	47.176353	44.702213	
39.601807	41.56526	42.82341	44.834503	47.221443	44.86318	
39.692078	41.594376	42.808273	44.898697	47.31563	45.053318	
39.537613	41.476906	42.42684	45.15045	47.3998	45.00805	
39.678036	41.473896	42.46014	45.034103	47.544086	45.210262	
39.705116	41.54016	42.47124	45.037113	47.57515	45.12978	
39.678036	41.452812	42.57114	44.89669	47.48998	44.971832	
39.67068	41.463783	42.480324	44.663994	47.442326	44.741447	
39.757027	41.552315	42.51766	44.74925	47.42728	44.70322	
39.840363	41.53823	42.47326	44.964893	47.77934	44.56539	
39.96988	41.56539	42.53784	44.917755	47.797394	44.691147	
40.076305	41.55634	42.58426	44.837513	47.771313	44.482376	
40.129517	41.692154	42.597378	44.829487	47.77332	44.58711	
40.0743	41.572433	42.648838	44.744232	47.819458	44.75831	
40.061245	41.51811	42.748737	44.67603	47.818455	44.724068	
40.116467	41.447685	42.825428	44.67603	47.84739	44.527218	
40.30522	41.42455	43.074673	44.634903	47.6998	44.663307	
40.463856	41.46881	43.23209	44.61886	47.65763	44.549397	
40.30422	41.511066	43.312817	44.633533	47.761044	44.50504	
40.343372	41.394367	43.27346	44.82731	47.87751	44.42137	
40.31526	41.38531	43.257317	44.802208	47.6757	44.393147	
40.328312	41.400402	43.32089	44.91566	47.82229	44.379032	
40.359436	41.42656	43.32997	44.859436	47.848392	44.413307	
40.429718	41.60161	43.46216	44.81426	47.995983	44.299397	
40.349396	41.681774	43.51564	44.849396	48.11245	44.289608	
40.362816	41.664654	43.656914	44.82229	48.371487	44.264645	
40.258293	41.701912	43.414734	44.870483	48.363453	44.30202	
40.223114	41.66264	43.43996	44.833332	48.273094	44.346466	
40.310555	41.584087	43.496468	44.720882	48.452812	44.37475	
40.29447	41.550858	43.511112	44.710842	48.592964	44.454544	
40.36016	41.626385	43.47273	45.241966	48.71328	44.526794	
40.26962	41.629406	43.3798	45.144577	48.676056	44.457027	
40.23843	41.776436	43.250504	45.252007	48.81873	44.598583	
40.26358	41.83887	43.223232	45.281124	48.797585	44.61274	
40.202213	41.71702	43.172726	45.059296	48.644154	44.634983	
40.087524	41.78248	43.30606	45.05025	48.658268	44.569263	
40.12475	41.649548	43.239395	45.213066	48.47427	44.549038	
40.13682	41.537766	43.232323	45.17588	48.664986	44.552074	
