CTRL-rep1	CTRL-rep2	CTRL-rep3	ESRP-DKO-rep1	ESRP-DKO-rep2	ESRP-DKO-rep3	
1567.653	1619.329	1739.929	1692.385	1866.627	1799.02	
1572.26	1624.598	1745.578	1697.176	1872.128	1803.839	
1578.12	1630.894	1752.073	1703.615	1878.925	1810.938	
1590.468	1644.148	1766.921	1717.657	1894.287	1825.287	
1592.3323	1645.948	1767.1261	1719.3063	1896.1182	1827.022	
1602.016	1655.9569	1773.3848	1729.2883	1907.1051	1838.087	
1600.4214	1654.2683	1772.4719	1727.3663	1905.2893	1836.7357	
1607.2383	1661.3033	1780.3828	1734.5486	1912.6096	1844.4755	
1609.8038	1664.6456	1783.7605	1737.8308	1915.6967	1847.7347	
1617.0841	1673.3573	1792.5521	1744.6877	1922.6216	1855.7007	
1625.9119	1682.4724	1802.7014	1753.933	1932.3134	1865.5946	
1633.6477	1690.5265	1811.0602	1762.3153	1941.8639	1874.8959	
1642.4224	1699.4144	1821.5962	1771.8779	1951.3954	1884.5615	
1648.4244	1705.8699	1828.5752	1778.4104	1958.037	1891.6287	
1652.8959	1710.8188	1833.8627	1785.7728	1963.4655	1897.4524	
1655.9879	1714.0731	1836.8636	1788.7635	1966.1102	1900.7335	
1663.7996	1722.1462	1845.0813	1796.6633	1974.7365	1909.5121	
1669.9879	1728.05	1851.1454	1802.9259	1981.6804	1915.992	
1667.7424	1726.479	1848.9258	1799.8878	1978.2936	1913.2736	
1671.6824	1732.1964	1852.5887	1804.8788	1983.6093	1919.1473	
1674.3367	1734.8938	1854.9288	1807.509	1986.3376	1922.2134	
1680.4019	1741.3888	1862.8265	1813.7886	1993.6393	1929.8978	
1681.8517	1742.9078	1864.5938	1815.7314	1995.0521	1931.6743	
1685.7855	1746.7395	1869.029	1819.8667	1998.955	1936.2285	
1691.7024	1753.03	1876.0511	1826.4359	2006.5922	1943.2986	
1695.6052	1757.5531	1880.646	1831.0771	2011.1724	1947.8788	
1693.8838	1756.47	1880.9619	1831.3807	2008.9369	1944.9409	
1697.8828	1760.6443	1885.8837	1835.8717	2013.9329	1949.4569	
1699.5371	1762.2184	1887.9368	1837.6703	2015.8527	1951.7305	
1701.003	1763.8688	1889.3601	1839.1774	2017.8527	1953.6012	
1705.8538	1768.8376	1894.8496	1845.0381	2023.2896	1959.3457	
1704.1243	1767.6703	1892.7603	1842.3677	2020.4069	1954.8076	
1708.991	1772.6743	1898.344	1847.6904	2025.7705	1959.3538	
1709.1984	1773.3607	1898.9629	1847.7445	2025.6954	1959.1512	
1707.7214	1772.1783	1897.1815	1845.9098	2023.3838	1957.471	
1711.49	1775.9019	1900.9819	1849.5831	2028.0181	1961.7064	
1712.8226	1777.5361	1902.6018	1850.7074	2029.4229	1962.9098	
1715.2976	1780.489	1904.9479	1853.4098	2031.9438	1965.5231	
1719.0331	1784.9379	1909.2859	1857.1072	2036.501	1969.7465	
1722.3397	1788.6212	1913.5266	1860.9459	2040.3507	1973.6202	
1719.516	1786.2605	1910.337	1857.7695	2036.6423	1970.465	
1718.1022	1785.3848	1908.7633	1856.494	2035.0271	1969.1503	
1718.9019	1783.9409	1908.8676	1857.1564	2036.3326	1971.025	
1719.524	1785.1443	1912.8124	1860.3276	2037.1533	1972.1643	
1722.0781	1787.955	1916.3832	1863.7004	2040.6343	1975.3297	
1722.6233	1788.5631	1916.6279	1864.1864	2041.1473	1975.7626	
1722.7665	1788.7996	1917.1304	1864.3838	2041.055	1976.2245	
1723.8367	1790.0421	1918.8696	1866.016	2042.6512	1977.495	
1722.8527	1789.5762	1917.4012	1864.6543	2041.507	1976.8226	
1728.2576	1795.4489	1922.7041	1870.3126	2048.2915	1983.1543	
1736.5441	1803.6233	1931.9739	1878.9119	2058.1772	1992.4058	
1739.9519	1807.2024	1935.4965	1882.7816	2062.2004	1996.5942	
1742.0962	1809.4288	1938.4272	1885.6393	2064.7205	1999.2645	
1744.5481	1812.2084	1941.5757	1888.7715	2068.0833	2002.45	
1742.1633	1810.3157	1938.8044	1886.0712	2064.5542	1999.6122	
1742.7745	1810.9319	1939.2909	1885.6833	2064.7224	1999.6653	
1741.3938	1810.0822	1938.1996	1884.0441	2063.0352	1997.9098	
1742.507	1811.7365	1940.0863	1885.5	2064.7566	1999.3838	
1746.1533	1815.7695	1943.8275	1889.1914	2068.7153	2003.2365	
1747.9489	1818.1312	1945.9579	1890.2374	2070.2544	2004.2736	
1751.6443	1821.9879	1950.5457	1893.9298	2074.2114	2008.7686	
1753.8076	1823.491	1952.653	1895.6793	2076.6382	2010.9359	
1759.4469	1829.5231	1959.2638	1902.019	2083.3877	2017.3757	
1763.4369	1834.5571	1964.7281	1906.8788	2088.919	2021.7855	
1765.8407	1837.0671	1967.7131	1910.9398	2093.2556	2024.2526	
1769.984	1841.9459	1972.8575	1916.2876	2099.2224	2029.1323	
1772.1653	1844.1272	1974.8435	1917.6122	2101.7153	2030.3807	
1778.1462	1849.8838	1981.4895	1924.3196	2108.911	2037.4069	
1781.4639	1853.7324	1987.4053	1930.3176	2112.8196	2041.2545	
1782.8126	1855.3607	1987.6931	1932.1954	2114.7185	2040.8436	
1785.3817	1858.1493	1990.4484	1934.8057	2117.3367	2043.5781	
1784.7605	1857.491	1990.2938	1933.8217	2115.4177	2042.971	
1789.9218	1863.6229	1995.6727	1939.029	2121.616	2049.1052	
1794.1003	1868.2778	2000.3153	1943.7041	2127.2578	2054.4805	
1794.7252	1868.9227	2000.5964	1943.97	2128.0842	2055.293	
1798.0411	1872.7933	2003.1055	1947.0511	2131.9058	2058.7112	
1799.4363	1875.2167	2003.7661	1948.8094	2133.695	2060.353	
1797.025	1872.8275	2000.3514	1945.8285	2130.5457	2058.3782	
1800.0071	1876.3651	2003.2911	1948.7864	2133.5437	2060.9138	
1798.4424	1875.3721	2001.4528	1945.648	2130.8486	2057.1355	
1797.6078	1874.5487	2000.3102	1944.353	2128.8254	2055.7854	
1798.6399	1875.5747	2001.7942	1945.637	2130.679	2057.1113	
1804.0531	1880.984	2009.1787	1952.5457	2136.6821	2062.8677	
1812.6058	1889.9519	2018.6145	1961.5487	2146.2356	2072.8967	
1818.7843	1897.7262	2025.9568	1968.6028	2155.673	2079.337	
1820.2578	1898.8064	2027.9036	1969.4182	2156.8435	2080.661	
1819.2046	1897.8837	2027.1597	1968.2678	2155.6519	2078.8064	
1821.7743	1900.5687	2030.1044	1970.8154	2158.303	2081.9487	
1825.5155	1904.1013	2034.4137	1974.686	2162.1433	2085.0942	
1827.1304	1905.334	2035.0161	1975.7623	2163.95	2086.9329	
1825.2507	1903.0221	2033.2721	1973.4905	2160.7864	2084.7432	
1828.3721	1905.999	2036.258	1976.1094	2164.661	2090.2356	
1829.5707	1907.646	2037.8434	1977.357	2166.5527	2092.3088	
1837.016	1915.0702	2045.3584	1985.7021	2176.4224	2100.8787	
1840.5406	1919.4293	2049.1606	1989.0531	2180.2778	2104.5757	
1839.2397	1918.2638	2048.019	1987.6038	2177.9106	2104.0742	
1839.7241	1918.8636	2048.6636	1987.5245	2177.8977	2104.7322	
1838.5406	1917.8585	2046.731	1986.2478	2175.36	2103.4382	
1834.8114	1913.9227	2041.6195	1981.6289	2170.8406	2099.3752	
1836.3911	1915.6229	2042.742	1982.3822	2172.6099	2100.7573	
1838.1825	1918.1304	2045.4639	1984.5897	2174.9739	2103.1274	
1839.5616	1918.7612	2047.4106	1985.9438	2176.618	2105.069	
1844.6891	1923.661	2052.8071	1991.4493	2182.342	2111.2727	
1842.5516	1921.4503	2049.797	1989.1113	2178.931	2108.354	
1845.9498	1924.9648	2052.4348	1992.0461	2181.8677	2112.049	
1847.1805	1926.332	2053.953	1993.1044	2182.8477	2113.9438	
1851.5316	1931.2517	2058.267	1998.0402	2188.1545	2120.8645	
1847.7954	1927.2026	2051.8484	1992.9087	2183.64	2116.4163	
1844.2708	1923.3671	2047.7871	1989.3099	2179.336	2111.636	
1849.648	1928.5466	2054.4458	1995.3019	2185.707	2117.654	
1849.9308	1928.7773	2055.0503	1996.0231	2186.8025	2118.7712	
1849.6349	1928.7112	2053.4507	1995.7612	2187.3782	2119.1965	
1852.664	1931.696	2056.4026	1998.5345	2191.1736	2122.2727	
1855.308	1934.2798	2059.3503	2001.2347	2194.1575	2126.1255	
1855.3561	1933.8485	2058.7822	2000.7231	2193.3862	2125.9138	
1858.0762	1936.7653	2062.5994	2003.333	2196.4202	2129.2598	
1858.5457	1937.5778	2063.3765	2003.8085	2197.2397	2129.977	
1863.3792	1942.7733	2069.8645	2009.7372	2204.343	2135.715	
1864.0802	1943.4001	2071.002	2010.643	2205.2559	2136.4744	
1860.9098	1939.6359	2071.5571	2006.8435	2201.332	2134.666	
1856.3461	1935.3209	2067.2449	2001.5286	2195.8325	2129.1174	
1857.6841	1937.8456	2068.5842	2002.7502	2197.3762	2130.638	
1866.4974	1946.2849	2078.3494	2011.5397	2206.9229	2139.314	
1871.1815	1950.8546	2081.3374	2015.8696	2212.5266	2144.1665	
1874.1324	1952.9358	2084.512	2019.0502	2216.1152	2147.8726	
1871.8986	1950.5532	2082.1758	2015.4589	2212.8513	2145.481	
1874.5211	1953.0994	2084.605	2017.6597	2216.213	2148.5984	
1874.8113	1953.2329	2084.9849	2017.502	2217.0684	2149.3535	
1875.9036	1955.1095	2086.6301	2018.4297	2217.6978	2150.7358	
1874.6818	1954.0682	2085.4453	2017.3424	2216.6074	2149.9177	
1871.1757	1950.4408	2080.191	2012.8685	2211.8313	2146.3132	
1871.197	1950.9126	2079.2192	2012.1477	2211.774	2146.0864	
1870.3257	1950.7749	2079.0645	2011.1226	2210.7266	2145.2654	
1873.9478	1954.5548	2083.185	2015.1095	2215.2502	2149.9749	
1876.7618	1957.0271	2085.0051	2018.5347	2218.781	2153.424	
1876.8905	1957.1628	2088.151	2020.1196	2219.196	2154.3247	
1877.1548	1957.3689	2088.7273	2020.7236	2219.5137	2154.615	
1880.2595	1959.9266	2090.9468	2023.7115	2222.9016	2157.8862	
1885.6248	1965.2272	2096.5142	2029.3739	2229.2664	2164.01	
1886.6086	1966.3618	2097.2927	2030.8804	2230.973	2165.9346	
1886.4326	1966.793	2096.0452	2029.7789	2230.3337	2164.677	
1890.181	1970.2382	2099.6228	2033.2382	2233.7507	2168.4346	
1896.4728	1976.0251	2104.9707	2038.9758	2241.3396	2175.1096	
1905.3029	1985.3809	2113.984	2048.98	2251.9326	2184.179	
1899.5363	1979.1769	2106.2012	2041.7778	2245.218	2178.2737	
1903.7545	1984.1356	2110.164	2045.4713	2249.5046	2183.5483	
