BISCUITqc CpH Retention by Read Position Table
ReadInPair	Position	Conversion/Retention	Count
2	45	C	1223503
2	45	R	45246
2	46	C	1226891
2	46	R	44652
2	47	C	1227159
2	47	R	43893
2	48	C	1227334
2	48	R	43306
2	49	C	1225913
2	49	R	43490
2	50	C	1225960
2	50	R	43506
2	51	C	1224503
2	51	R	43257
2	52	C	1228209
2	52	R	43357
2	53	C	1226205
2	53	R	43177
2	54	C	1224137
2	54	R	43340
2	55	C	1222755
2	55	R	43388
2	56	C	1220717
2	56	R	42960
2	57	C	1217580
2	57	R	42825
2	58	C	1215611
2	58	R	43145
2	59	C	1215528
2	59	R	43130
2	60	C	1210691
2	60	R	43221
2	61	C	1209414
2	61	R	44145
2	62	C	1203548
2	62	R	43987
2	63	C	1200102
2	63	R	44134
2	64	C	1196584
2	64	R	44597
2	65	C	1197044
2	65	R	44450
2	66	C	1189994
2	66	R	43982
2	67	C	1187798
2	67	R	43389
2	68	C	1186574
2	68	R	43997
2	69	C	1179218
2	69	R	43530
2	70	C	1176300
2	70	R	43655
2	71	C	1175384
2	71	R	43294
2	72	C	1171651
2	72	R	43216
2	73	C	1167616
2	73	R	42776
2	74	C	1158660
2	74	R	42899
2	75	C	1156395
2	75	R	42848
2	76	C	1151338
2	76	R	42838
2	77	C	1150185
2	77	R	41789
2	78	C	1144334
2	78	R	42015
2	79	C	1140086
2	79	R	41988
2	80	C	1136149
2	80	R	41902
2	81	C	1133012
2	81	R	41986
2	82	C	1129772
2	82	R	40834
2	83	C	1125069
2	83	R	39374
2	84	C	1119887
2	84	R	38085
2	85	C	1113327
2	85	R	36995
2	86	C	1108859
2	86	R	36654
2	87	C	1105179
2	87	R	35775
2	88	C	1100717
2	88	R	35553
2	89	C	1094783
2	89	R	34902
2	90	C	1090909
2	90	R	34441
2	91	C	1085190
2	91	R	34348
2	92	C	1080329
2	92	R	34279
2	93	C	1075511
2	93	R	34562
2	94	C	1073718
2	94	R	34945
2	95	C	1070674
2	95	R	35732
2	96	C	1065438
2	96	R	36847
2	97	C	1063234
2	97	R	37629
2	98	C	1059172
2	98	R	38394
2	99	C	1051750
2	99	R	39340
2	100	C	523157
2	100	R	19864
