Data File Name,2100 expert_High Sensitivity DNA Assay_DE13807144_2017-08-04_14-04-08.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\data\2017-08-04
Date Created,04 August 2017 13:04:08
Date Last Modified,04 August 2017 14:40:00
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,11
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
32,0.2392883
32.05,0.2392883
32.1,0.2392883
32.15,0.2392883
32.2,0.2392883
32.25,0.2392883
32.3,0.2392883
32.35,0.2392883
32.4,0.2392883
32.45,0.2392883
32.5,0.2392883
32.55,0.3786029
32.6,0.1884434
32.65,0.1045204
32.7,1.965251E-02
32.75,2.189514E-02
32.8,1.422311E-02
32.85,4.349136E-02
32.9,0.1044993
32.95,-3.408276E-02
33,0.3162531
33.05,0.2695754
33.1,0.1497364
33.15,-0.179632
33.2,-0.4399904
33.25,-0.6163733
33.3,-0.4295513
33.35,-0.1193803
33.4,-0.1102906
33.45,-5.258913E-02
33.5,-0.1504857
33.55,-0.1654972
33.6,-0.1182756
33.65,-5.127072E-02
33.7,5.026487E-05
33.75,0.0430291
33.8,-0.1365371
33.85,-0.3072214
33.9,-0.3395832
33.95,-0.3206539
34,-0.1505375
34.05,4.952576E-02
34.1,3.287115E-02
34.15,-8.114737E-02
34.2,-0.2060069
34.25,-0.1868896
34.3,-0.2703614
34.35,-0.2380651
34.4,-0.2107975
34.45,-0.1889651
34.5,-0.1289592
34.55,-0.200087
34.6,-0.2080465
34.65,-0.2886508
34.7,-0.29147
34.75,-0.3073704
34.8,-0.1701588
34.85,-0.1364977
34.9,-0.1218795
34.95,-0.2278983
35,-0.297208
35.05,-0.360297
35.1,-0.2557773
35.15,-0.1302962
35.2,-0.1144961
35.25,0.2717045
35.3,0.397205
35.35,0.3694227
35.4,0.1982313
35.45,-1.969649E-02
35.5,-0.2220525
35.55,-0.1783495
35.6,-3.018514E-02
35.65,-0.0120999
35.7,1.273676E-02
35.75,1.778296E-02
35.8,-1.792101E-02
35.85,-6.196695E-03
35.9,-1.765722E-02
35.95,-5.648912E-02
36,-0.1293213
36.05,-0.1139454
36.1,-4.464247E-02
36.15,2.326149E-02
36.2,-4.178812E-02
36.25,-0.2094382
36.3,-0.3175957
36.35,-0.4249716
36.4,-0.2800272
36.45,-0.1103141
36.5,-0.1212712
36.55,-0.1905888
36.6,-0.2313831
36.65,-0.2209855
36.7,-0.2115464
36.75,-3.370587E-02
36.8,0.170601
36.85,0.2376433
36.9,0.2339061
36.95,6.883457E-02
37,-0.1138483
37.05,-0.2487677
37.1,-0.2415301
37.15,-0.1900481
37.2,-0.2008996
37.25,-0.2432392
37.3,-0.2202495
37.35,-0.119629
37.4,1.811415E-02
37.45,0.1071386
37.5,3.255327E-02
37.55,-7.611386E-02
37.6,-0.178458
37.65,-0.1710351
37.7,-0.1660944
37.75,-5.788074E-02
37.8,1.214977E-02
37.85,-1.847113E-02
37.9,1.389864E-02
37.95,-3.845643E-02
38,-9.954511E-02
38.05,-0.082224
38.1,-3.708541E-02
38.15,-0.0628409
38.2,-7.125984E-03
38.25,0.1291713
38.3,0.2760158
38.35,0.3749807
38.4,0.3643986
38.45,0.1679687
38.5,1.082934E-02
38.55,-0.1497335
38.6,-0.1609258
38.65,-0.1935258
38.7,-0.1274386
38.75,-1.937741E-02
38.8,7.847612E-02
38.85,0.1193735
38.9,5.203396E-02
38.95,-8.834621E-02
39,-0.1790303
39.05,-0.1621904
39.1,-0.1378942
39.15,-9.173217E-02
39.2,-0.1330287
39.25,-0.1449912
39.3,-0.1902213
39.35,-0.169058
39.4,-6.798491E-02
39.45,2.256818E-02
39.5,2.633667E-02
39.55,-9.108923E-02
39.6,-0.2300029
39.65,-0.338358
39.7,-0.3298199
39.75,-0.3035358
39.8,-0.2401372
39.85,-0.2353648
39.9,-0.1723315
39.95,-0.1419361
40,-0.1747401
40.05,-0.236832
40.1,-0.1360382
40.15,4.90608E-03
40.2,-5.168562E-03
40.25,3.511655E-02
40.3,6.641644E-02
40.35,7.405724E-02
40.4,0.1059874
40.45,-5.496716E-03
40.5,-0.1147035
40.55,-0.1553513
40.6,-0.147108
40.65,-0.1781411
40.7,-0.2302351
40.75,-0.2318376
40.8,-0.2281705
40.85,-2.877282E-02
40.9,-6.02357E-03
40.95,8.099765E-02
41,0.085742
41.05,2.185201E-02
41.1,1.390797E-02
41.15,-7.709271E-02
41.2,-0.1022119
41.25,-0.1487866
41.3,-4.725348E-02
41.35,0.023238
41.4,0.1398798
41.45,0.1771355
41.5,1.433334E-02
41.55,-0.135789
41.6,-0.2212784
41.65,-0.1109789
41.7,-2.576822E-02
41.75,-6.060018E-02
41.8,-0.1708498
41.85,-0.3060819
41.9,-0.3422484
41.95,-0.1647059
42,4.826202E-02
42.05,-3.190786E-03
42.1,-0.1000943
42.15,-0.1173766
42.2,-8.545142E-02
42.25,-1.214024E-02
42.3,7.245197E-03
42.35,-6.393294E-02
42.4,-0.18178
42.45,-0.1771522
42.5,0.1121873
42.55,1.075018
42.6,3.652034
42.65,8.821185
42.7,18.90841
42.75,34.90374
42.8,56.3566
42.85,80.72689
42.9,103.0758
42.95,117.7608
43,120.2673
43.05,108.7102
43.1,87.71295
43.15,62.93822
43.2,39.96534
43.25,22.41812
43.3,11.11491
43.35,5.041274
43.4,2.326973
43.45,1.288333
43.5,0.7995127
43.55,0.5937421
43.6,0.5776443
43.65,0.4590744
43.7,0.3778838
43.75,0.232064
43.8,0.296319
43.85,0.2896543
43.9,0.1648625
43.95,9.094421E-02
44,-1.221274E-02
44.05,2.864111E-02
44.1,0.3094079
44.15,0.3718831
44.2,0.3135226
44.25,0.2790136
44.3,0.296432
44.35,0.3130239
44.4,0.3590196
44.45,0.4288897
44.5,0.2312797
44.55,0.2144307
44.6,0.1438126
44.65,0.182807
44.7,0.3466834
44.75,0.5289057
44.8,0.6717713
44.85,0.7933152
44.9,1.556095
44.95,3.997866
45,9.93959
45.05,21.66838
45.1,40.9376
45.15,67.78986
45.2,98.65238
45.25,126.867
45.3,143.4416
45.35,143.7059
45.4,127.5866
45.45,99.95813
45.5,68.66899
45.55,40.86144
45.6,21.01324
45.65,10.05815
45.7,4.932769
45.75,3.00231
45.8,2.33778
45.85,2.066965
45.9,1.873622
45.95,1.62018
46,1.349546
46.05,1.130434
46.1,0.9831245
46.15,0.9309062
46.2,0.8355392
46.25,0.763574
46.3,0.7025424
46.35,0.6896803
46.4,0.5776337
46.45,0.4806597
46.5,0.4576416
46.55,0.4096541
46.6,0.4839506
46.65,0.4874488
46.7,0.4967303
46.75,0.4284845
46.8,0.3986195
46.85,0.4449449
46.9,0.461967
46.95,0.5209805
47,0.5511972
47.05,0.4487849
47.1,0.4511491
47.15,0.4761283
47.2,0.520637
47.25,0.5572447
47.3,0.5617166
47.35,0.4717616
47.4,0.4317289
47.45,0.6243076
47.5,0.6145127
47.55,0.6997913
47.6,0.6119596
47.65,0.4729651
47.7,0.3379462
47.75,0.3327934
47.8,0.3544692
47.85,0.4330468
47.9,0.4836658
47.95,0.5813453
48,0.6254156
48.05,0.5185999
48.1,0.4299244
48.15,0.3449307
48.2,0.3616439
48.25,0.4308341
48.3,0.5449906
48.35,0.4433271
48.4,0.3608791
48.45,0.2967528
48.5,0.3764141
48.55,0.439843
48.6,0.415555
48.65,0.3666801
48.7,0.3647188
48.75,0.4870907
48.8,0.6101405
48.85,0.7531202
48.9,0.6958336
48.95,0.626855
49,0.5435582
49.05,0.4955256
49.1,0.4337904
49.15,0.4203483
49.2,0.4630673
49.25,0.4582168
49.3,0.490004
49.35,0.4539284
49.4,0.4299854
49.45,0.4867565
49.5,0.6719523
49.55,0.8690856
49.6,0.9198282
49.65,0.8274976
49.7,0.7539735
49.75,0.6976975
49.8,0.7238189
49.85,0.7437311
49.9,0.7612737
49.95,0.6598824
50,0.5674
50.05,0.5731098
50.1,0.553416
50.15,0.5848007
50.2,0.6571396
50.25,0.7334386
50.3,0.8302735
50.35,0.9168001
50.4,0.8700268
50.45,0.8539129
50.5,0.8020715
50.55,0.8401638
50.6,1.128053
50.65,1.618544
50.7,2.903793
50.75,6.832351
50.8,16.27664
50.85,35.75483
50.9,67.56128
50.95,106.9478
51,145.4461
51.05,171.6234
51.1,176.1084
51.15,156.7899
51.2,120.3948
51.25,79.39621
51.3,45.1844
51.35,22.93071
51.4,11.21118
51.45,6.207544
51.5,4.447275
51.55,3.702025
51.6,3.219504
51.65,2.97268
51.7,2.805184
51.75,2.548767
51.8,2.296357
51.85,2.110265
51.9,1.86126
51.95,1.776686
52,1.504048
52.05,1.289381
52.1,1.115587
52.15,1.038206
52.2,1.109708
52.25,1.21525
52.3,1.22255
52.35,1.084874
52.4,1.243767
52.45,1.178696
52.5,1.15577
52.55,1.176122
52.6,1.062717
52.65,1.034049
52.7,1.166121
52.75,1.241561
52.8,1.121577
52.85,1.181471
52.9,1.226343
52.95,1.198783
53,1.298805
53.05,1.401313
53.1,1.539131
53.15,1.486126
53.2,1.332198
53.25,1.145847
53.3,1.013366
53.35,1.054917
53.4,1.16286
53.45,1.372854
53.5,1.308997
53.55,1.211113
53.6,1.189864
53.65,1.237562
53.7,1.43752
53.75,1.607751
53.8,1.655597
53.85,1.620526
53.9,1.570655
53.95,1.518646
54,1.533307
54.05,1.58827
54.1,1.592357
54.15,1.533844
54.2,1.538841
54.25,1.507723
54.3,1.419477
54.35,1.326265
54.4,1.328653
54.45,1.319967
54.5,1.432589
54.55,1.53005
54.6,1.548044
54.65,1.361183
54.7,1.333589
54.75,1.394492
54.8,1.473593
54.85,1.654024
54.9,1.656983
54.95,1.597915
55,1.607888
55.05,1.739885
55.1,1.710785
55.15,1.537908
55.2,1.419083
55.25,1.369167
55.3,1.438659
55.35,1.63713
55.4,1.659934
55.45,1.604409
55.5,1.743935
55.55,2.597563
55.6,5.50689
55.65,13.45002
55.7,31.75265
55.75,63.66242
55.8,107.3445
55.85,155.0296
55.9,194.5316
55.95,212.1403
56,199.9526
56.05,161.2259
56.1,110.8933
56.15,65.36623
56.2,33.69153
56.25,16.67647
56.3,9.242579
56.35,6.456201
56.4,5.268816
56.45,4.636658
56.5,4.389781
56.55,4.260713
56.6,4.162121
56.65,3.953723
56.7,3.733383
56.75,3.322853
56.8,3.104235
56.85,3.072044
56.9,2.999868
56.95,2.806244
57,2.540564
57.05,2.286558
57.1,2.068229
57.15,2.155958
57.2,2.260393
57.25,2.218362
57.3,2.092239
57.35,1.996597
57.4,1.99475
57.45,2.10685
57.5,2.275257
57.55,2.23933
57.6,2.129532
57.65,2.060516
57.7,2.003114
57.75,1.96156
57.8,1.963334
57.85,1.89197
57.9,1.909318
57.95,2.117244
58,2.116507
58.05,2.072803
58.1,1.964629
58.15,1.780214
58.2,1.671111
58.25,1.784882
58.3,1.874104
58.35,1.927574
58.4,1.874208
58.45,1.816014
58.5,1.809634
58.55,1.880008
58.6,1.947141
58.65,1.872105
58.7,1.794055
58.75,1.8041
58.8,1.92446
58.85,1.954793
58.9,1.850822
58.95,1.619263
59,1.546209
59.05,1.733843
59.1,1.880125
59.15,1.918673
59.2,1.91094
59.25,1.954488
59.3,1.982805
59.35,2.202964
59.4,2.250909
59.45,2.128604
59.5,1.931753
59.55,1.796451
59.6,1.747077
59.65,1.78231
59.7,1.98196
59.75,1.909383
59.8,1.871605
59.85,1.801878
59.9,1.799297
59.95,1.844141
60,1.952779
60.05,2.110948
60.1,2.122032
60.15,1.997316
60.2,1.796837
60.25,1.66999
60.3,2.198953
60.35,4.528231
60.4,11.31962
60.45,26.02583
60.5,53.83966
60.55,96.02042
60.6,146.444
60.65,194.4738
60.7,225.1174
60.75,227.9073
60.8,201.3841
60.85,155.2199
60.9,103.3949
60.95,61.65323
61,35.07606
61.05,21.00781
61.1,14.94483
61.15,12.46604
61.2,11.17146
61.25,9.880405
61.3,8.78698
61.35,8.077302
61.4,7.365973
61.45,6.995327
61.5,6.684423
61.55,6.338329
61.6,5.787315
61.65,5.028303
61.7,4.450881
61.75,4.216301
61.8,4.106147
61.85,3.97559
61.9,3.853913
61.95,3.587137
62,3.417939
62.05,3.416435
62.1,3.333042
62.15,3.055091
62.2,2.856669
62.25,2.733597
62.3,2.687485
62.35,2.735963
62.4,2.544923
62.45,2.424089
62.5,2.375877
62.55,2.506892
62.6,2.517638
62.65,2.576827
62.7,2.525587
62.75,2.372785
62.8,2.26726
62.85,2.205675
62.9,2.124357
62.95,2.172695
63,2.339935
63.05,2.274101
63.1,2.20658
63.15,2.056542
63.2,2.066923
63.25,2.063341
63.3,2.059278
63.35,2.019164
63.4,2.011706
63.45,1.983191
63.5,2.042317
63.55,2.07233
63.6,1.999765
63.65,1.906663
63.7,1.871271
63.75,1.828009
63.8,1.876917
63.85,2.01189
63.9,1.890263
63.95,1.817335
64,1.747089
64.05,1.775932
64.1,1.946667
64.15,2.090501
64.2,2.076509
64.25,1.964352
64.3,1.96735
64.35,1.943527
64.4,1.94361
64.45,2.012098
64.5,2.098091
64.55,2.109773
64.6,2.06989
64.65,1.985588
64.7,1.975942
64.75,1.982928
64.8,2.006291
64.85,1.943138
64.9,1.88369
64.95,1.907424
65,1.957416
65.05,1.969304
65.1,1.851923
65.15,1.66828
65.2,1.46569
65.25,1.481212
65.3,1.581843
65.35,1.702432
65.4,1.618784
65.45,1.552878
65.5,1.484801
65.55,1.498343
65.6,1.66897
65.65,1.758522
65.7,1.779456
65.75,1.766921
65.8,1.909078
65.85,1.893433
65.9,1.841383
65.95,1.750899
66,1.688348
66.05,1.790911
66.1,1.981853
66.15,2.115425
66.2,2.174424
66.25,2.096325
66.3,2.030158
66.35,2.027902
66.4,2.052466
66.45,2.075505
66.5,1.91945
66.55,1.799407
66.6,1.707251
66.65,1.814396
66.7,1.850968
66.75,1.858456
66.8,1.71243
66.85,1.577796
66.9,1.596418
66.95,1.618858
67,1.687104
67.05,1.759694
67.1,1.762712
67.15,1.698434
67.2,1.780809
67.25,1.72482
67.3,1.707962
67.35,1.639974
67.4,1.602287
67.45,1.582254
67.5,1.620462
67.55,1.605281
67.6,1.562201
67.65,1.492975
67.7,1.353947
67.75,1.342109
67.8,1.37367
67.85,1.391492
67.9,1.339169
67.95,1.323753
68,1.334134
68.05,1.284985
68.1,1.330372
68.15,1.405432
68.2,1.484808
68.25,1.463278
68.3,1.500958
68.35,1.501389
68.4,1.537293
68.45,1.506021
68.5,1.411982
68.55,1.385633
68.6,1.328983
68.65,1.205422
68.7,1.216742
68.75,1.25354
68.8,1.245207
68.85,1.408887
68.9,1.581289
68.95,1.593204
69,1.453298
69.05,1.385272
69.1,1.270358
69.15,1.232933
69.2,1.296552
69.25,1.321503
69.3,1.367808
69.35,1.344541
69.4,1.3231
69.45,1.416114
69.5,1.532541
69.55,1.635987
69.6,2.421676
69.65,5.099088
69.7,11.76123
69.75,26.20611
69.8,54.19637
69.85,97.49107
69.9,153.0223
69.95,211.3306
70,256.7555
70.05,276.6369
70.1,265.6261
70.15,227.3349
70.2,171.7061
70.25,116.6977
70.3,72.43454
70.35,42.54496
70.4,25.55862
70.45,17.48581
70.5,13.8742
70.55,11.83162
70.6,10.49765
70.65,9.404049
70.7,8.556159
70.75,7.684836
70.8,6.920159
70.85,6.229098
70.9,5.721745
70.95,4.961316
71,4.35081
71.05,4.063542
71.1,3.798648
71.15,3.387995
71.2,3.079155
71.25,2.797251
71.3,2.449821
71.35,2.361162
71.4,2.366722
71.45,2.432762
71.5,2.249627
71.55,2.140419
71.6,2.088108
71.65,1.918447
71.7,1.899014
71.75,1.845714
71.8,1.760324
71.85,1.648078
71.9,1.805438
71.95,1.844626
72,1.939405
72.05,1.835353
72.1,1.622191
72.15,1.495796
