Distance from GATC site	Reads + strand	Reads - strand
-1216	88903.500000	89800.500000
-1215	88572.500000	90049.000000
-1214	89409.000000	89682.000000
-1213	89425.500000	89029.500000
-1212	88941.500000	90004.000000
-1211	89258.000000	89788.500000
-1210	89261.500000	89363.500000
-1209	88924.000000	89650.000000
-1208	88861.500000	89824.500000
-1207	88936.000000	90414.000000
-1206	89141.500000	90055.500000
-1205	90079.500000	89239.500000
-1204	88839.500000	89552.500000
-1203	89316.500000	89613.500000
-1202	89692.000000	89597.500000
-1201	88540.000000	89677.500000
-1200	88723.500000	89281.000000
-1199	89104.500000	89639.000000
-1198	89354.500000	89006.500000
-1197	89022.500000	88745.500000
-1196	89308.500000	89517.000000
-1195	89384.000000	89368.500000
-1194	89646.500000	89599.000000
-1193	89172.500000	88956.500000
-1192	89456.000000	89811.500000
-1191	88551.500000	89682.500000
-1190	89227.000000	89252.000000
-1189	88914.000000	89538.500000
-1188	89014.000000	90407.500000
-1187	89143.000000	89195.500000
-1186	88993.500000	90033.000000
-1185	90021.000000	90239.500000
-1184	88676.000000	88666.500000
-1183	89804.500000	89260.500000
-1182	89011.500000	89375.500000
-1181	89012.000000	89677.000000
-1180	89392.000000	89580.500000
-1179	89081.000000	89804.500000
-1178	89736.000000	89408.500000
-1177	89569.000000	89428.000000
-1176	89583.000000	89950.500000
-1175	89304.500000	89698.000000
-1174	89358.000000	90704.000000
-1173	89602.000000	88926.000000
-1172	88452.500000	89795.000000
-1171	89499.000000	89927.000000
-1170	89444.500000	89522.000000
-1169	89188.500000	89849.500000
-1168	88913.500000	90210.500000
-1167	89093.000000	89551.000000
-1166	89341.000000	89704.000000
-1165	88679.500000	89741.500000
-1164	89193.500000	88599.500000
-1163	89248.500000	90287.500000
-1162	88918.500000	89477.000000
-1161	89303.000000	89405.000000
-1160	88825.500000	90526.000000
-1159	89365.000000	90072.000000
-1158	89728.500000	89822.000000
-1157	89354.000000	90085.000000
-1156	88770.000000	89303.500000
-1155	89298.000000	89704.500000
-1154	89027.000000	90595.500000
-1153	89921.500000	89654.500000
-1152	89870.000000	90053.500000
-1151	89778.500000	89758.000000
-1150	88664.000000	89674.000000
-1149	88700.500000	88958.500000
-1148	89010.000000	89783.500000
-1147	89919.500000	89151.000000
-1146	89883.500000	90044.500000
-1145	89313.500000	89312.500000
-1144	89378.000000	89503.000000
-1143	89598.500000	89745.000000
-1142	88848.000000	89965.000000
-1141	89000.500000	90047.000000
-1140	88970.500000	89223.500000
-1139	89228.000000	89780.500000
-1138	89459.000000	89365.500000
-1137	89201.500000	89986.500000
-1136	89510.000000	89814.500000
-1135	88745.500000	89810.500000
-1134	89750.000000	89388.000000
-1133	89342.500000	89226.500000
-1132	89656.500000	89554.500000
-1131	89488.000000	89803.500000
-1130	89315.000000	89300.000000
-1129	88949.500000	89195.500000
-1128	88788.500000	90695.000000
-1127	89036.000000	89950.500000
-1126	89589.000000	90018.500000
-1125	89420.500000	90321.000000
-1124	89691.000000	88962.000000
-1123	89639.000000	89901.000000
-1122	88739.500000	88752.000000
-1121	89082.000000	89452.500000
-1120	89246.500000	90432.000000
-1119	89202.500000	89306.000000
-1118	89016.500000	89114.000000
-1117	89815.000000	89416.500000
-1116	88877.000000	88836.000000
-1115	89302.500000	89614.000000
-1114	89142.500000	90009.500000
-1113	89311.000000	89375.000000
-1112	89954.000000	90346.000000
-1111	89516.000000	89449.000000
-1110	88929.500000	89711.000000
-1109	89516.000000	89388.000000
-1108	89065.500000	88961.500000
-1107	88869.500000	89353.500000
-1106	89595.500000	89516.500000
-1105	89446.000000	89817.000000
-1104	89804.500000	89449.500000
-1103	88923.500000	89734.000000
-1102	89614.500000	89385.500000
-1101	88987.000000	89109.000000
-1100	89576.000000	88957.500000
-1099	88882.000000	89153.500000
-1098	89543.000000	89551.000000
-1097	89352.500000	89908.000000
-1096	89639.500000	90064.500000
-1095	89768.500000	89458.000000
-1094	89201.500000	88996.500000
-1093	89930.500000	89640.500000
-1092	88987.500000	88855.000000
-1091	89947.500000	89590.500000
-1090	88705.000000	89247.500000
-1089	88803.000000	90229.500000
-1088	89493.500000	88735.500000
-1087	88799.500000	90089.000000
-1086	89769.000000	89422.000000
-1085	89588.500000	89153.500000
-1084	88809.500000	89668.500000
-1083	88998.000000	89915.500000
-1082	89429.000000	89577.500000
-1081	89648.500000	88928.000000
-1080	89339.000000	89623.500000
-1079	89593.000000	88828.000000
-1078	89546.000000	89650.000000
-1077	89369.000000	89075.500000
-1076	89515.500000	90053.000000
-1075	89097.500000	89964.500000
-1074	89514.500000	89827.500000
-1073	89566.000000	89638.500000
-1072	89630.500000	89554.000000
-1071	89003.500000	89747.000000
-1070	89081.000000	89705.000000
-1069	89840.500000	89661.500000
-1068	89373.500000	89704.000000
-1067	89705.500000	89524.000000
-1066	89397.000000	89813.000000
-1065	89486.000000	89747.000000
-1064	88848.000000	89223.000000
-1063	89516.000000	89025.000000
-1062	89620.000000	89515.000000
-1061	89882.500000	89468.500000
-1060	89607.500000	89590.500000
-1059	88795.500000	90064.000000
-1058	89012.000000	90035.000000
-1057	90014.000000	88829.000000
-1056	89151.500000	89097.500000
-1055	88863.500000	90518.500000
-1054	89522.000000	89441.000000
-1053	89399.000000	89277.500000
-1052	88939.000000	90341.500000
-1051	89904.000000	89799.000000
-1050	89066.500000	90454.000000
-1049	88306.500000	88990.500000
-1048	89914.500000	89717.500000
-1047	89772.500000	89327.500000
