PCT of bases in wgs with coverage [100x:inf), 22.67
PCT of bases in wgs with coverage [50x:100x), 66.66
PCT of bases in wgs with coverage [20x:50x), 6.10
PCT of bases in wgs with coverage [15x:20x), 0.24
PCT of bases in wgs with coverage [10x:15x), 0.24
PCT of bases in wgs with coverage [3x:10x), 0.52
PCT of bases in wgs with coverage [1x:3x), 0.47
PCT of bases in wgs with coverage [0x:1x), 3.09
