mass	peplen	charge1	charge2	charge3	charge4	charge5	enzN	enzC	enzInt	dm	absdm	isotope_error	COMET:deltaCn	COMET:deltaLCn	COMET:lnExpect	MS:1002252	MS:1002255	COMET:lnNumSP	COMET:lnRankSP	COMET:IonFrac	cos_ionb	cos_iony	iony_pearson	min_abs_diff_iontype	ionb_mean_abs_diff_norm	iony_pearson_norm	iony_abs_diff_Q3_norm	spec_pearson	ionb_max_abs_diff_norm	min_abs_diff_norm	iony_spearman	max_abs_diff_iontype	dotprod_norm	iony_abs_diff_Q1	ionb_mse	abs_diff_Q2_norm	abs_diff_Q1_norm	iony_mse_norm	ionb_std_abs_diff_norm	spec_mse	ionb_mean_abs_diff	dotprod	ionb_abs_diff_Q3_norm	iony_max_abs_diff_norm	ionb_abs_diff_Q2_norm	iony_abs_diff_Q2_norm	abs_diff_Q3_norm	spec_pearson_norm	iony_mean_abs_diff_norm	ionb_min_abs_diff	iony_max_abs_diff	iony_min_abs_diff	cos_norm	iony_mse	max_abs_diff	iony_abs_diff_Q2	iony_std_abs_diff	ionb_abs_diff_Q3	ionb_std_abs_diff	std_abs_diff_norm	iony_abs_diff_Q1_norm	ionb_max_abs_diff	iony_min_abs_diff_norm	ionb_spearman	spec_spearman	dotprod_iony	abs_diff_Q3	iony_std_abs_diff_norm	iony_mean_abs_diff	dotprod_ionb_norm	dotprod_ionb	abs_diff_Q2	dotprod_iony_norm	cos_ionb_norm	cos_iony_norm	ionb_abs_diff_Q1_norm	ionb_pearson	iony_abs_diff_Q3	max_abs_diff_norm	mean_abs_diff_norm	spec_mse_norm	min_abs_diff	mean_abs_diff	ionb_pearson_norm	cos	ionb_min_abs_diff_norm	ionb_mse_norm	ionb_abs_diff_Q1	std_abs_diff	abs_diff_Q1	ionb_abs_diff_Q2	observed_retention_time_best	rt_diff	predicted_retention_time_best	predicted_retention_time	observed_retention_time	rt_diff_best	m0
0.446	0.3900	-0.3090	0.1646	0.2515	0.0697	0.0770	0.0000	0.0000	0.3900	-0.8113	-0.4605	0.0000	0.0000	0.0000	-0.5843	-0.1378	-0.0811	0.2001	-0.0816	-0.1421	0.1038	-0.0456	0.0008	-0.0253	-0.4276	0.2532	-0.1031	-0.5277	0.1042	-0.0436	-0.1694	-0.0330	-0.4215	-0.0788	-0.0394	-0.1374	-0.0236	-0.0251	-0.1151	-0.0167	0.2111	0.0038	0.0163	-0.0318	0.0993	0.0283	-0.0533	-0.1333	0.1379	0.0852	-0.2800	0.0650	0.1190	0.0093	0.1352	-0.0692	0.3457	-0.0113	-0.1314	0.0562	0.0059	-0.1038	0.0353	-0.0400	0.4415	0.0061	0.0905	-0.0662	-0.0310	-0.1862	-0.0061	0.1273	-0.6360	0.2003	0.2240	0.0161	0.0504	-0.0540	-0.0221	-0.1987	0.1669	0.0779	0.1104	-0.1203	0.8210	-0.2081	0.2735	-0.0494	-0.2079	0.1023	-0.0275	-0.1625	-0.8868	-0.1306	-0.1306	0.6464	-2.1939	-3.7653
0.0018	0.1320	-0.6205	0.3297	1.0190	0.7722	1.7776	0.0000	0.0000	0.1320	-91.9144	-89.8156	0.0000	0.0000	0.0000	-0.1844	-0.2821	-0.0008	0.1119	-0.0660	-0.9500	0.3477	-0.1425	0.0018	-0.0586	-0.5574	0.6411	-0.0994	-1.3090	0.0750	-1.9681	-0.4439	-0.0661	-0.0007	-50.5687	-19.2046	-0.2049	-0.0572	-0.0072	-0.2386	-9.4117	26.9166	0.5017	0.0137	-0.0210	0.1034	0.0357	-0.0556	-0.3666	0.2044	819.1411	-5.2716	492.4244	8.1431	3.9767	2.3158	-16.5507	20.6606	-1.1449	-9.2461	0.1300	0.0113	-2.2885	0.3388	-0.1045	1.2726	0.8508	14.0548	-0.1365	-3.5071	-0.0006	-2.4646	58.1099	-0.0021	11.9353	13.1052	0.0247	0.1221	-5.2475	-0.0157	-0.3362	0.0582	3789.3068	17.6346	-0.3187	2.5769	-2.5571	0.0716	-23.9898	-14.1380	129.2803	-5.6846	-0.0002	-0.0013	-0.0004	-0.0004	0.0008	-0.0033	-34.5724
mass	peplen	charge1	charge2	charge3	charge4	charge5	enzN	enzC	enzInt	dm	absdm	isotope_error	COMET:deltaCn	COMET:deltaLCn	COMET:lnExpect	MS:1002252	MS:1002255	COMET:lnNumSP	COMET:lnRankSP	COMET:IonFrac	cos_ionb	cos_iony	iony_pearson	min_abs_diff_iontype	ionb_mean_abs_diff_norm	iony_pearson_norm	iony_abs_diff_Q3_norm	spec_pearson	ionb_max_abs_diff_norm	min_abs_diff_norm	iony_spearman	max_abs_diff_iontype	dotprod_norm	iony_abs_diff_Q1	ionb_mse	abs_diff_Q2_norm	abs_diff_Q1_norm	iony_mse_norm	ionb_std_abs_diff_norm	spec_mse	ionb_mean_abs_diff	dotprod	ionb_abs_diff_Q3_norm	iony_max_abs_diff_norm	ionb_abs_diff_Q2_norm	iony_abs_diff_Q2_norm	abs_diff_Q3_norm	spec_pearson_norm	iony_mean_abs_diff_norm	ionb_min_abs_diff	iony_max_abs_diff	iony_min_abs_diff	cos_norm	iony_mse	max_abs_diff	iony_abs_diff_Q2	iony_std_abs_diff	ionb_abs_diff_Q3	ionb_std_abs_diff	std_abs_diff_norm	iony_abs_diff_Q1_norm	ionb_max_abs_diff	iony_min_abs_diff_norm	ionb_spearman	spec_spearman	dotprod_iony	abs_diff_Q3	iony_std_abs_diff_norm	iony_mean_abs_diff	dotprod_ionb_norm	dotprod_ionb	abs_diff_Q2	dotprod_iony_norm	cos_ionb_norm	cos_iony_norm	ionb_abs_diff_Q1_norm	ionb_pearson	iony_abs_diff_Q3	max_abs_diff_norm	mean_abs_diff_norm	spec_mse_norm	min_abs_diff	mean_abs_diff	ionb_pearson_norm	cos	ionb_min_abs_diff_norm	ionb_mse_norm	ionb_abs_diff_Q1	std_abs_diff	abs_diff_Q1	ionb_abs_diff_Q2	observed_retention_time_best	rt_diff	predicted_retention_time_best	predicted_retention_time	observed_retention_time	rt_diff_best	m0
0.582	0.2919	-0.3921	0.1897	0.3446	0.1177	0.1122	0.0000	0.0000	0.2919	-0.8937	-0.5037	0.0000	0.0000	0.0000	-0.4878	-0.1626	-0.1281	0.2704	-0.1213	-0.0631	0.0487	0.0760	-0.1590	-0.0310	-0.6715	0.3356	-0.1322	-0.9143	0.2915	-0.1036	-0.2395	-0.0771	-0.3338	-0.0901	0.1470	0.0277	-0.0344	0.1961	-0.2720	-0.0866	0.0353	0.0025	0.1991	-0.0243	0.0498	0.0268	0.0060	-0.2687	0.0631	0.0609	-0.8197	0.0656	-0.1551	-0.2606	0.5583	-0.0734	1.0467	0.0328	0.1205	-0.0299	-0.0413	-0.2826	0.0062	-0.1210	0.7237	0.0012	0.1064	-0.1399	0.1219	-0.0368	0.0040	0.1724	-0.6148	0.2046	0.3217	0.0431	0.0686	-0.1170	0.0211	-0.3998	0.2985	0.1466	0.1081	0.0002	1.3536	-0.2012	0.2699	-0.0284	-0.7764	0.0511	-0.0086	-0.0900	-0.6110	-0.1842	-0.1842	0.7164	-2.9553	-4.2294
0.0023	0.0988	-0.7874	0.3800	1.3961	1.3049	2.5892	0.0000	0.0000	0.0988	-101.2471	-98.2519	0.0000	0.0000	0.0000	-0.1539	-0.3328	-0.0012	0.1512	-0.0982	-0.4221	0.1632	0.2376	-0.3694	-0.0719	-0.8755	0.8498	-0.1275	-2.2680	0.2100	-4.6717	-0.6273	-0.1542	-0.0006	-57.8319	71.6913	0.0413	-0.0837	0.0565	-0.5638	-48.8528	4.5024	0.3282	0.1683	-0.0161	0.0519	0.0338	0.0063	-0.7393	0.0935	585.1554	-15.4307	497.2368	-10.6087	-111.6498	9.5610	-17.5582	62.5503	3.3376	8.4800	-0.0693	-0.0790	-6.2307	0.0597	-0.3161	2.0859	0.1709	16.5303	-0.2884	13.8014	-0.0001	1.5988	78.7283	-0.0020	12.1875	18.8232	0.0664	0.1662	-11.3735	0.0150	-0.6764	0.1041	7131.2561	17.2697	0.0005	4.2486	-2.4726	0.0707	-13.7693	-52.8043	64.6424	-1.7680	-0.0001	-0.0009	-0.0005	-0.0005	0.0009	-0.0045	-23.0624
mass	peplen	charge1	charge2	charge3	charge4	charge5	enzN	enzC	enzInt	dm	absdm	isotope_error	COMET:deltaCn	COMET:deltaLCn	COMET:lnExpect	MS:1002252	MS:1002255	COMET:lnNumSP	COMET:lnRankSP	COMET:IonFrac	cos_ionb	cos_iony	iony_pearson	min_abs_diff_iontype	ionb_mean_abs_diff_norm	iony_pearson_norm	iony_abs_diff_Q3_norm	spec_pearson	ionb_max_abs_diff_norm	min_abs_diff_norm	iony_spearman	max_abs_diff_iontype	dotprod_norm	iony_abs_diff_Q1	ionb_mse	abs_diff_Q2_norm	abs_diff_Q1_norm	iony_mse_norm	ionb_std_abs_diff_norm	spec_mse	ionb_mean_abs_diff	dotprod	ionb_abs_diff_Q3_norm	iony_max_abs_diff_norm	ionb_abs_diff_Q2_norm	iony_abs_diff_Q2_norm	abs_diff_Q3_norm	spec_pearson_norm	iony_mean_abs_diff_norm	ionb_min_abs_diff	iony_max_abs_diff	iony_min_abs_diff	cos_norm	iony_mse	max_abs_diff	iony_abs_diff_Q2	iony_std_abs_diff	ionb_abs_diff_Q3	ionb_std_abs_diff	std_abs_diff_norm	iony_abs_diff_Q1_norm	ionb_max_abs_diff	iony_min_abs_diff_norm	ionb_spearman	spec_spearman	dotprod_iony	abs_diff_Q3	iony_std_abs_diff_norm	iony_mean_abs_diff	dotprod_ionb_norm	dotprod_ionb	abs_diff_Q2	dotprod_iony_norm	cos_ionb_norm	cos_iony_norm	ionb_abs_diff_Q1_norm	ionb_pearson	iony_abs_diff_Q3	max_abs_diff_norm	mean_abs_diff_norm	spec_mse_norm	min_abs_diff	mean_abs_diff	ionb_pearson_norm	cos	ionb_min_abs_diff_norm	ionb_mse_norm	ionb_abs_diff_Q1	std_abs_diff	abs_diff_Q1	ionb_abs_diff_Q2	observed_retention_time_best	rt_diff	predicted_retention_time_best	predicted_retention_time	observed_retention_time	rt_diff_best	m0
0.519	0.2746	-0.3387	0.1691	0.2912	0.0872	0.1037	0.0000	0.0000	0.2746	-0.6977	-0.4109	0.0000	0.0000	0.0000	-0.5174	-0.0936	-0.0940	0.1764	-0.0847	-0.1077	0.0868	-0.0570	-0.0568	-0.0322	-0.4900	0.3117	0.0252	-0.5256	0.2967	-0.0319	-0.1937	-0.0619	-0.3423	-0.0681	0.2336	-0.0475	0.0318	-0.1467	-0.2663	0.0679	0.1017	0.0047	0.2146	0.0340	0.1122	0.0160	-0.0167	-0.2403	0.0407	0.0645	0.0738	0.0698	0.1171	-0.1022	0.2149	-0.1410	-0.0014	0.0281	-0.0130	0.1503	-0.0136	-0.2538	0.0265	-0.0300	0.5188	0.0025	0.1142	-0.0612	0.1174	0.0444	0.0070	0.1071	-0.7131	0.0900	0.2515	0.0181	-0.0069	-0.0129	0.0173	-0.2947	-0.0627	0.0281	0.1465	0.0244	0.8827	-0.1305	0.0393	-0.0598	-0.4365	0.0988	0.0236	-0.1147	-0.8340	-0.1581	-0.1581	0.6982	-2.0512	-3.5548
0.0021	0.0929	-0.6802	0.3388	1.1797	0.9670	2.3941	0.0000	0.0000	0.0929	-79.0444	-80.1553	0.0000	0.0000	0.0000	-0.1633	-0.1917	-0.0009	0.0986	-0.0685	-0.7200	0.2908	-0.1782	-0.1320	-0.0746	-0.6388	0.7894	0.0243	-1.3037	0.2137	-1.4391	-0.5075	-0.1238	-0.0006	-43.7397	113.9285	-0.0709	0.0772	-0.0423	-0.5521	38.3126	12.9659	0.6211	0.1814	0.0225	0.1169	0.0201	-0.0175	-0.6612	0.0602	619.7724	1.3894	529.1947	8.0101	-43.7866	3.6802	-33.6973	-0.0813	2.8560	-0.9171	0.3477	-0.0259	-5.5967	0.2543	-0.0783	1.4952	0.3473	17.7363	-0.1262	13.2935	0.0001	2.8243	48.8837	-0.0024	5.3603	14.7140	0.0278	-0.0167	-1.2526	0.0123	-0.4987	-0.0219	1367.6149	23.4056	0.0647	2.7706	-1.6038	0.0103	-29.0385	-29.6856	124.9247	4.8726	-0.0002	-0.0012	-0.0004	-0.0004	0.0009	-0.0031	-29.9858
