# This file contains the weights from each cross validation bin from percolator training
# First line is the feature names, followed by normalized weights, and the raw weights of bin 1
# This is repeated for the other bins
mass	peplen	charge2	charge3	charge4	charge5	enzN	enzC	enzInt	dm	absdm	isotope_error	COMET:deltaCn	COMET:deltaLCn	COMET:lnExpect	MS:1002252	MS:1002255	COMET:lnNumSP	COMET:lnRankSP	COMET:IonFrac	cos_ionb	ionb_std_abs_diff_norm	ionb_mse_norm	ionb_abs_diff_Q1_norm	spec_mse	iony_abs_diff_Q3	iony_std_abs_diff	dotprod_ionb_norm	spec_spearman	max_abs_diff	ionb_pearson	iony_mse_norm	cos_ionb_norm	mean_abs_diff_norm	ionb_min_abs_diff_norm	abs_diff_Q1	max_abs_diff_norm	spec_mse_norm	ionb_max_abs_diff_norm	min_abs_diff_iontype	abs_diff_Q2	std_abs_diff	mean_abs_diff	ionb_abs_diff_Q2_norm	abs_diff_Q1_norm	std_abs_diff_norm	cos_iony	iony_abs_diff_Q2_norm	ionb_max_abs_diff	cos_iony_norm	cos	iony_pearson	ionb_mse	iony_min_abs_diff	iony_pearson_norm	iony_abs_diff_Q1	iony_abs_diff_Q2	iony_std_abs_diff_norm	dotprod_norm	dotprod_ionb	iony_max_abs_diff_norm	dotprod_iony	ionb_mean_abs_diff	spec_pearson	ionb_std_abs_diff	iony_spearman	iony_min_abs_diff_norm	ionb_spearman	cos_norm	max_abs_diff_iontype	ionb_pearson_norm	ionb_abs_diff_Q2	min_abs_diff_norm	ionb_mean_abs_diff_norm	abs_diff_Q3_norm	abs_diff_Q2_norm	dotprod	spec_pearson_norm	ionb_min_abs_diff	ionb_abs_diff_Q3	abs_diff_Q3	iony_abs_diff_Q3_norm	iony_mean_abs_diff_norm	iony_mse	iony_abs_diff_Q1_norm	min_abs_diff	dotprod_iony_norm	iony_max_abs_diff	ionb_abs_diff_Q3_norm	ionb_abs_diff_Q1	iony_mean_abs_diff	rt_diff	predicted_retention_time	observed_retention_time_best	rt_diff_best	observed_retention_time	predicted_retention_time_best	m0
0.208	0.2016	-0.1467	0.1356	0.0462	-0.0011	0.0000	0.0000	0.2016	0.0423	-0.1078	0.0000	0.0103	0.1536	-0.2184	-0.3459	0.1174	0.1344	-0.0506	0.3703	0.1203	0.0596	-0.0802	-0.0008	0.0714	-0.0639	-0.0176	0.0656	0.8644	-0.2807	-0.1703	0.5767	0.4831	-0.2407	-0.1532	-0.0709	0.2865	0.3312	0.1301	0.0258	0.1103	0.0581	-0.0385	-0.2636	0.0046	-0.1811	-0.1005	-0.2348	0.2627	-0.0128	0.1673	0.1424	-0.1543	0.0669	0.4644	-0.0881	-0.1158	0.1855	-0.1424	-0.0017	-0.2724	-0.0364	0.0291	0.0250	-0.1048	-0.0827	-0.0103	0.2648	0.0935	-0.0265	-0.0887	-0.0045	0.0905	-0.0278	-0.0937	0.1563	-0.0268	-0.6285	-0.1767	0.0135	0.0819	-0.0414	-0.3790	0.2600	0.2029	0.0379	-0.3067	0.1388	0.3798	-0.0553	-0.0847	-0.0732	0.0634	-0.0629	-0.1170	-0.0048	0.0634	0.1489
0.0020	0.1013	-0.3020	0.2820	0.3558	-0.0607	0.0000	0.0000	0.1013	43.7756	-160.6832	0.0000	0.0683	1.0150	-0.0606	-0.6397	0.0006	0.1574	-0.0613	1.6467	0.4053	0.1340	-0.0275	-0.0014	52.5288	-6.6611	-1.2495	0.0003	2.4272	-6.0789	-0.3978	0.1521	33.4805	-0.3696	-0.5953	-80.0958	0.1713	0.1124	0.0899	0.0554	46.2094	4.6557	-6.1353	-0.3239	0.0123	-0.3616	-0.2887	-0.2711	6.7655	-0.6357	0.5312	0.3011	-114.1282	84.4422	1.0285	-42.9314	-27.5045	0.3156	-0.0003	-0.5584	-0.1574	-10.1824	4.3718	0.0641	-8.5042	-0.1947	-0.0380	0.7557	5.5890	-0.0554	-0.2312	-1.4040	0.8347	-0.0381	-0.0915	0.2326	-5.2889	-1.7151	-288.6851	1.8951	12.4151	-0.0340	-0.4901	167.9130	0.3639	191.4474	-0.0013	3.1344	0.3640	-37.1251	-10.6126	-0.0001	0.0001	-0.0005	-0.0002	-0.0000	0.0001	-41.9566
mass	peplen	charge2	charge3	charge4	charge5	enzN	enzC	enzInt	dm	absdm	isotope_error	COMET:deltaCn	COMET:deltaLCn	COMET:lnExpect	MS:1002252	MS:1002255	COMET:lnNumSP	COMET:lnRankSP	COMET:IonFrac	cos_ionb	ionb_std_abs_diff_norm	ionb_mse_norm	ionb_abs_diff_Q1_norm	spec_mse	iony_abs_diff_Q3	iony_std_abs_diff	dotprod_ionb_norm	spec_spearman	max_abs_diff	ionb_pearson	iony_mse_norm	cos_ionb_norm	mean_abs_diff_norm	ionb_min_abs_diff_norm	abs_diff_Q1	max_abs_diff_norm	spec_mse_norm	ionb_max_abs_diff_norm	min_abs_diff_iontype	abs_diff_Q2	std_abs_diff	mean_abs_diff	ionb_abs_diff_Q2_norm	abs_diff_Q1_norm	std_abs_diff_norm	cos_iony	iony_abs_diff_Q2_norm	ionb_max_abs_diff	cos_iony_norm	cos	iony_pearson	ionb_mse	iony_min_abs_diff	iony_pearson_norm	iony_abs_diff_Q1	iony_abs_diff_Q2	iony_std_abs_diff_norm	dotprod_norm	dotprod_ionb	iony_max_abs_diff_norm	dotprod_iony	ionb_mean_abs_diff	spec_pearson	ionb_std_abs_diff	iony_spearman	iony_min_abs_diff_norm	ionb_spearman	cos_norm	max_abs_diff_iontype	ionb_pearson_norm	ionb_abs_diff_Q2	min_abs_diff_norm	ionb_mean_abs_diff_norm	abs_diff_Q3_norm	abs_diff_Q2_norm	dotprod	spec_pearson_norm	ionb_min_abs_diff	ionb_abs_diff_Q3	abs_diff_Q3	iony_abs_diff_Q3_norm	iony_mean_abs_diff_norm	iony_mse	iony_abs_diff_Q1_norm	min_abs_diff	dotprod_iony_norm	iony_max_abs_diff	ionb_abs_diff_Q3_norm	ionb_abs_diff_Q1	iony_mean_abs_diff	rt_diff	predicted_retention_time	observed_retention_time_best	rt_diff_best	observed_retention_time	predicted_retention_time_best	m0
0.413	0.1630	-0.0540	0.0804	-0.0965	0.0027	0.0000	0.0000	0.1630	0.0850	-0.2538	0.0000	0.2120	-0.2657	-0.1885	-0.1371	0.3177	0.0449	-0.0204	-0.2812	0.0814	-0.2428	-0.0704	-0.1176	0.0713	-0.2060	-0.7177	-0.2234	0.2066	-0.1169	-0.2464	-0.0477	-0.1292	-0.0540	-0.1350	-0.0490	0.1930	-0.0655	0.1124	-0.0603	0.2183	0.5477	0.3539	-0.1394	-0.0749	-0.6382	0.3423	-0.1194	0.2146	0.1067	-0.2469	-0.2074	-0.0627	0.1348	0.1154	-0.0532	-0.3859	0.2263	-0.3034	-0.0576	0.2090	-0.0864	0.2260	0.5948	-0.6742	0.0597	-0.0614	-0.0563	0.0985	-0.0312	0.1577	-0.2031	0.1097	0.1764	0.2899	-0.1100	-0.0963	-0.4017	0.0094	-0.0185	0.1144	-0.0653	-0.2571	0.1799	0.1973	0.0051	-0.3398	-0.0330	0.0474	-0.1026	0.3677	-0.1584	-0.0417	0.1079	-0.3451	-0.0169	-0.0417	-0.0337
0.0040	0.0819	-0.1111	0.1672	-0.7432	0.1510	0.0000	0.0000	0.0819	87.9990	-378.0734	0.0000	1.4003	-1.7562	-0.0523	-0.2536	0.0015	0.0525	-0.0247	-1.2508	0.2744	-0.5456	-0.0241	-0.2129	52.4516	-21.4701	-50.8039	-0.0011	0.5802	-2.5325	-0.5758	-0.0126	-8.9563	-0.0830	-0.5246	-55.3060	0.1154	-0.0222	0.0776	-0.1295	91.4627	43.8851	56.4711	-0.1713	-0.1996	-1.2744	0.9839	-0.1378	5.5274	5.3039	-0.7840	-0.4385	-46.4017	170.0847	0.2555	-25.8927	-91.6656	0.3850	-0.0007	-18.5396	0.1208	-24.1496	33.9640	1.5257	-54.7237	0.1407	-0.2265	-0.1608	5.8857	-0.0654	0.4110	-62.8736	1.0124	0.2421	0.2830	-0.1637	-19.0255	-1.0963	15.3264	-2.6039	17.3484	-0.0537	-0.3325	116.1907	0.3538	25.9713	-0.0014	-0.7441	0.0454	-68.9112	46.0835	-0.0003	-0.0001	0.0008	-0.0006	-0.0001	-0.0001	-2.8988
mass	peplen	charge2	charge3	charge4	charge5	enzN	enzC	enzInt	dm	absdm	isotope_error	COMET:deltaCn	COMET:deltaLCn	COMET:lnExpect	MS:1002252	MS:1002255	COMET:lnNumSP	COMET:lnRankSP	COMET:IonFrac	cos_ionb	ionb_std_abs_diff_norm	ionb_mse_norm	ionb_abs_diff_Q1_norm	spec_mse	iony_abs_diff_Q3	iony_std_abs_diff	dotprod_ionb_norm	spec_spearman	max_abs_diff	ionb_pearson	iony_mse_norm	cos_ionb_norm	mean_abs_diff_norm	ionb_min_abs_diff_norm	abs_diff_Q1	max_abs_diff_norm	spec_mse_norm	ionb_max_abs_diff_norm	min_abs_diff_iontype	abs_diff_Q2	std_abs_diff	mean_abs_diff	ionb_abs_diff_Q2_norm	abs_diff_Q1_norm	std_abs_diff_norm	cos_iony	iony_abs_diff_Q2_norm	ionb_max_abs_diff	cos_iony_norm	cos	iony_pearson	ionb_mse	iony_min_abs_diff	iony_pearson_norm	iony_abs_diff_Q1	iony_abs_diff_Q2	iony_std_abs_diff_norm	dotprod_norm	dotprod_ionb	iony_max_abs_diff_norm	dotprod_iony	ionb_mean_abs_diff	spec_pearson	ionb_std_abs_diff	iony_spearman	iony_min_abs_diff_norm	ionb_spearman	cos_norm	max_abs_diff_iontype	ionb_pearson_norm	ionb_abs_diff_Q2	min_abs_diff_norm	ionb_mean_abs_diff_norm	abs_diff_Q3_norm	abs_diff_Q2_norm	dotprod	spec_pearson_norm	ionb_min_abs_diff	ionb_abs_diff_Q3	abs_diff_Q3	iony_abs_diff_Q3_norm	iony_mean_abs_diff_norm	iony_mse	iony_abs_diff_Q1_norm	min_abs_diff	dotprod_iony_norm	iony_max_abs_diff	ionb_abs_diff_Q3_norm	ionb_abs_diff_Q1	iony_mean_abs_diff	rt_diff	predicted_retention_time	observed_retention_time_best	rt_diff_best	observed_retention_time	predicted_retention_time_best	m0
-0.092	0.0909	0.0841	-0.0862	0.0053	-0.0018	0.0000	0.0000	0.0909	0.0913	-0.0655	0.0000	0.0199	0.0205	-0.3014	-0.2629	0.5784	0.0712	-0.0263	-0.0661	0.1448	0.0328	-0.2316	-0.1910	0.0653	-0.1519	0.0655	0.2218	0.6020	0.6606	-0.1558	0.2533	-0.0113	-0.8993	-0.0509	-0.4087	0.0899	0.0483	-0.0563	-0.0065	-0.2928	-0.9503	0.1514	0.3076	0.1817	0.2337	-0.0126	0.2682	0.3336	0.1820	0.2106	-0.1940	0.2386	0.1548	0.1145	0.0359	-0.1774	0.6176	-0.1353	0.0455	-0.1626	-0.1214	0.3375	0.2057	-0.7298	0.3171	0.0153	0.3874	-0.1965	-0.0022	-0.1230	0.0082	0.2301	-0.3007	-0.4313	0.3047	-0.0578	-0.6464	-0.0406	-0.1633	0.2712	0.4306	-1.2309	-0.0936	0.2118	0.1333	-0.4294	0.1291	0.7155	0.1069	-0.0435	-0.1117	-0.0898	-0.1550	0.2369	0.1970	-0.0898	0.1151
-0.0009	0.0457	0.1731	-0.1793	0.0408	-0.1010	0.0000	0.0000	0.0457	94.5858	-97.6246	0.0000	0.1314	0.1357	-0.0836	-0.4862	0.0027	0.0834	-0.0319	-0.2941	0.4881	0.0737	-0.0794	-0.3457	48.0508	-15.8307	4.6394	0.0011	1.6905	14.3060	-0.3640	0.0668	-0.7835	-1.3812	-0.1976	-461.5797	0.0538	0.0164	-0.0388	-0.0140	-122.6835	-76.1385	24.1565	0.3779	0.4842	0.4667	-0.0362	0.3098	8.5900	9.0484	0.6687	-0.4102	176.5348	195.3669	0.2535	17.5103	-42.1369	1.0509	-0.0003	14.6614	-0.0939	-33.9469	50.7262	0.5277	-59.2353	0.7468	0.0564	1.1056	-11.7480	-0.0046	-0.3206	2.5431	2.1229	-0.4127	-0.4211	0.4535	-11.4114	-1.7641	-66.4127	-22.9524	41.1242	0.3540	-1.5918	-60.4553	0.3798	673.7560	-0.0018	2.9154	0.6856	71.7721	-5.4573	-0.0002	-0.0001	-0.0012	0.0004	0.0015	-0.0001	2.6506
