WTCHG_171117_262	WTCHG_171117_264	
1580.1725	1246.9078	
1580.5266	1246.004	
1581.0461	1245.1143	
1582.651	1245.6252	
1582.5076	1244.499	
1582.0942	1244.3527	
1577.685	1240.5741	
1577.996	1239.971	
1578.6168	1239.9398	
1578.4243	1239.2114	
1576.0371	1237.1693	
1575.6335	1236.685	
1572.1055	1230.5728	
1576.7208	1236.006	
1577.008	1235.701	
1577.8344	1235.1725	
1578.5492	1233.4655	
1578.6014	1232.8606	
1577.2169	1231.5397	
1576.1335	1230.6549	
1578.256	1232.2307	
1581.2148	1233.9529	
1581.745	1234.3641	
1582.3876	1233.5999	
1581.0171	1232.0933	
1583.8813	1233.514	
1584.5577	1233.3905	
1585.1005	1233.1656	
1586.0543	1233.2571	
1585.8875	1232.6195	
1585.6593	1232.1948	
1584.404	1229.3715	
1584.4352	1228.524	
1583.8965	1227.8353	
1584.6161	1227.5834	
1584.9176	1227.0502	
1586.0603	1228.3092	
1586.4644	1227.6556	
1586.4542	1227.9448	
1587.607	1227.3835	
1588.1146	1226.7811	
1589.3065	1226.6948	
1590.2915	1227.3142	
1591.0361	1227.1295	
1589.1125	1225.3334	
1589.4241	1224.6637	
1589.3126	1223.9498	
1589.6251	1222.9056	
1589.5085	1222.504	
1589.2583	1221.9347	
1589.7277	1221.3464	
1590.9508	1221.8634	
1591.7568	1222.1285	
1591.7507	1221.9729	
1592.1849	1220.9639	
1592.1075	1220.247	
1592.0834	1219.2369	
1588.793	1215.6556	
1587.3597	1213.24	
1586.9036	1211.51	
1587.4171	1210.511	
1586.1237	1209.3193	
1585.2804	1214.9708	
1584.179	1213.4518	
1583.4784	1211.8243	
1582.0764	1209.0602	
1582.4739	1208.207	
1581.8622	1208.0422	
1580.0704	1206.0422	
1579.6938	1204.6077	
1578.137	1202.9528	
1577.2427	1201.0795	
1577.0947	1199.9688	
1574.8992	1197.992	
1571.6946	1193.9879	
1569.7833	1191.1611	
1567.7863	1188.5569	
1565.0483	1186.9073	
1560.1704	1181.3313	
1558.1804	1180.9275	
1556.9092	1179.5312	
1555.3844	1176.9193	
1555.3784	1175.991	
1555.8063	1175.4325	
1556.3707	1175.0778	
1555.0172	1173.2583	
1555.7717	1172.336	
1554.7202	1171.0364	
1553.2778	1169.566	
1552.3889	1168.6599	
1551.8041	1167.1423	
1552.5956	1167.0485	
1551.369	1165.1262	
1551.0526	1164.5262	
1550.1567	1163.0505	
1548.7158	1161.5374	
1548.2123	1160.8282	
1547.4838	1159.3903	
1545.9677	1158.2437	
1544.7356	1156.9191	
1543.4772	1155.6437	
1541.9878	1154.8229	
1540.6809	1153.3168	
1537.1996	1151.4535	
1534.1499	1149.335	
1533.215	1147.5248	
1530.7465	1145.4661	
1520.132	1137.5344	
1516.4213	1134.428	
1516.2733	1134.1421	
1514.629	1131.8193	
1514.4913	1131.3435	
1512.4883	1129.6971	
1510.5992	1127.4807	
1507.1383	1124.311	
1504.6674	1122.372	
1502.3105	1121.0132	
1502.0398	1121.9277	
1499.7706	1120.499	
1497.5056	1118.2852	
1495.0347	1116.3544	
1490.7737	1112.8055	
1488.452	1111.0979	
1487.143	1110.2081	
1486.7689	1110.0234	
1485.3374	1108.7252	
1483.9877	1107.345	
1482.957	1106.3735	
1480.7635	1106.3121	
1479.3787	1105.1914	
1479.0922	1104.4514	
1475.1945	1102.7318	
1473.3439	1100.4033	
1470.3556	1098.6926	
1470.0841	1097.8553	
1465.2451	1093.7365	
1463.0902	1091.8739	
1462.12	1090.6852	
1463.5966	1090.2742	
1465.4132	1090.7472	
1466.3618	1090.557	
1469.6526	1092.7832	
1470.3319	1092.2251	
1469.517	1090.7389	
1468.1583	1088.4646	
1466.8304	1086.6968	
1465.851	1085.4749	
1463.5118	1083.519	
1465.2911	1086.0186	
1463.3292	1083.857	
1464.4537	1085.822	
1464.4166	1085.7058	
1463.1813	1084.207	
1464.1102	1084.8373	
1466.1505	1086.2278	
1464.8835	1085.8279	
1464.7969	1086.8319	
1464.7845	1087.1113	
1463.6835	1086.9299	
1461.8773	1085.9506	
1459.8876	1085.2516	
1459.7812	1085.3344	
1455.838	1081.7957	
1453.0485	1079.743	
1450.1011	1076.6687	
1449.1228	1077.8969	
1448.159	1077.5588	
1447.1715	1076.4257	
1446.063	1074.8843	
1446.187	1073.8502	
1446.1136	1072.7211	
1445.3961	1071.1531	
1444.1561	1070.3062	
1442.9794	1068.729	
1441.5791	1066.6411	
1440.2329	1066.3727	
1439.3298	1064.5917	
1438.75	1063.2301	
1437.188	1062.4347	
1436.35	1061.2583	
1433.2097	1059.0114	
1428.5088	1057.2399	
1427.0831	1056.0997	
1425.1039	1054.7518	
1425.529	1054.8636	
1423.788	1053.1343	
1421.7245	1051.3466	
1420.3971	1051.5094	
1415.9023	1048.0823	
1415.4086	1046.9979	
1414.686	1046.2125	
1413.0083	1044.4115	
1414.336	1045.7706	
1414.2769	1045.8195	
1414.2227	1046.0449	
1412.9188	1045.6357	
1412.4963	1045.6869	
1414.3854	1046.3668	
1407.635	1044.1245	
1406.6997	1043.3148	
1414.4425	1047.1962	
1415.8712	1046.8551	
1414.8356	1044.4003	
1414.599	1043.1638	
1414.8899	1042.7592	
1415.2571	1042.5653	
1412.3025	1040.5574	
1412.3881	1040.3228	
1414.6312	1041.1036	
1404.6965	1032.9419	
1403.3513	1032.1927	
1402.1371	1031.0847	
1400.0507	1029.3019	
1400.2455	1030.9808	
1398.7205	1029.6787	
1397.7098	1029.19	
1396.881	1029.4215	
1395.425	1028.4984	
1400.773	1033.2902	
1400.2039	1033.3547	
1404.2462	1035.6333	
1406.6124	1036.5237	
1412.4484	1040.1252	
1415.7129	1040.8153	
1413.987	1038.892	
1417.2035	1041.3644	
1418.1853	1041.263	
1418.5281	1037.91	
1419.5022	1037.2614	
1419.2192	1036.3319	
1415.4191	1030.7917	
1415.4363	1030.2418	
1414.6469	1029.3362	
1415.2235	1030.3811	
1418.0671	1032.0153	
1418.6915	1032.9248	
1420.7533	1032.6982	
1421.3337	1032.4471	
1420.6497	1032.0327	
1420.5065	1032.5044	
1418.4274	1030.7238	
1418.7068	1030.0011	
1417.6655	1029.4459	
1414.7872	1027.094	
1416.9696	1027.6007	
1418.812	1029.8698	
1418.6061	1029.7766	
1418.049	1028.3833	
1416.5713	1027.5454	
1413.3384	1024.7448	
1411.2385	1022.7917	
1410.0033	1021.8004	
1410.8484	1023.2393	
1409.881	1022.3044	
1406.6376	1019.89233	
1406.7631	1019.9352	
1398.3367	1014.51044	
1399.2214	1015.96246	
1400.3578	1016.6696	
1398.6422	1014.6144	
1398.956	1014.11615	
1398.4609	1013.3998	
1397.6046	1013.43506	
1396.2313	1012.1311	
1394.6542	1009.95886	
1393.0353	1007.2547	
1392.0353	1005.75165	
1394.105	1006.0546	
1392.8431	1004.77594	
1392.9989	1005.34485	
1391.346	1003.5414	
1389.1442	1002.4676	
1389.5864	1000.6264	
1389.0377	1000.01904	
1386.8878	998.6872	
1383.711	996.81726	
1382.0189	995.63074	
1380.8417	995.03827	
1377.7937	992.901	
1377.6573	992.0405	
1375.9475	990.3153	
1373.6573	988.7579	
1372.4883	988.2796	
1367.8246	985.3619	
1369.6018	986.8115	
1367.7069	984.7968	
1368.4221	985.5656	
1368.5997	986.8991	
1367.5874	985.80383	
1363.7971	982.64624	
1366.6027	985.0465	
1366.0955	984.7852	
1365.5214	983.4863	
1364.8894	983.8014	
1363.0417	981.33374	
1359.6509	978.67084	
1361.6912	978.0938	
1363.8142	978.66095	
1362.9049	978.43695	
1363.466	979.1906	
1361.4059	977.2813	
1360.5851	976.3651	
1359.1066	975.7325	
1359.7639	975.6299	
1360.252	975.7448	
1362.1854	976.6694	
1362.5868	978.36993	
1362.5994	977.7653	
